state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-10.187168867553064,-10.18716886755306,-10.18716886755306,1.77105167795418e-15,6.960356087256054e-47,0.0,-10.187168867553062,5.903505593180599e-16,10.187168867553062,10.187168867553062,10.187168867553064,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1895,977,978,1010,0.0007250000000000001,4.5e-06,0.0007250000000000001,4.575e-06,0.00075,4.5e-06,0.0007333333333333333,4.525000000000001e-06,7.333333333333333,45.25000000000001,-7.827876303899589,-7.35607588067628,-7.356075880676279,0.4717231685371633,-7.725468614726692e-05,-7.725468614726692e-05,-7.513342688417382,0.15718955305495624,7.51498682029347,7.518076222238199,7.842076904550696,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1896,977,1009,1010,0.0007250000000000001,4.5e-06,0.00075,4.425e-06,0.00075,4.5e-06,0.0007416666666666666,4.475e-06,7.416666666666666,44.75,-7.356075880676279,-7.35607588067628,-6.938021078169469,-7.740795318931681e-05,-7.740795318931681e-05,-0.41813221045999727,-7.216724279840676,-0.13942900878879197,7.2180710567113255,7.2209203872734555,7.356075881083562,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1897,978,979,1011,0.0007250000000000001,4.575e-06,0.0007250000000000001,4.65e-06,0.00075,4.575e-06,0.0007333333333333333,4.6e-06,7.333333333333333,46.0,-8.925154007491814,-8.342884184540406,-8.342884184540406,0.5821934101981839,-7.641275322489398e-05,-7.641275322489398e-05,-8.536974125524209,0.19401352823057805,8.539178442274544,8.543296880739632,8.944122272438218,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1898,978,1010,1011,0.0007250000000000001,4.575e-06,0.00075,4.5e-06,0.00075,4.575e-06,0.0007416666666666666,4.55e-06,7.416666666666666,45.49999999999999,-8.342884184540406,-8.342884184540406,-7.8308278741729005,-7.727886591341985e-05,-7.727886591341985e-05,-0.512133589233418,-8.172198747751237,-0.1707627156550816,8.173982644819157,8.177775020046484,8.342884184898317,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1899,979,980,1012,0.0007250000000000001,4.65e-06,0.0007250000000000001,4.7250000000000005e-06,0.00075,4.65e-06,0.0007333333333333333,4.675000000000001e-06,7.333333333333333,46.75000000000001,-10.295499298620395,-9.565319770592662,-9.565319770592662,0.7301047837829356,-7.474424479919116e-05,-7.474424479919116e-05,-9.808712946601906,0.24331843176444576,9.811730404371705,9.817331348685949,10.321354504288465,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1900,979,1011,1012,0.0007250000000000001,4.65e-06,0.00075,4.575e-06,0.00075,4.65e-06,0.0007416666666666666,4.625000000000001e-06,7.416666666666666,46.25000000000001,-9.565319770592662,-9.565319770592662,-8.928810345312929,-7.643822693528968e-05,-7.643822693528968e-05,-0.6365858635066682,-9.353149962166084,-0.21224624665351297,9.355557849962016,9.36070468097172,9.565319770898078,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1901,980,981,1013,0.0007250000000000001,4.7250000000000005e-06,0.0007250000000000001,4.8e-06,0.00075,4.7250000000000005e-06,0.0007333333333333333,4.75e-06,7.333333333333333,47.5,-12.037832518100355,-11.1049525921354,-11.1049525921354,0.9328078211965025,-7.210476845579472e-05,-7.210476845579472e-05,-11.41591256745705,0.31088787055319694,11.420144964748957,11.42794170062094,12.073919917123838,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1902,980,1012,1013,0.0007250000000000001,4.7250000000000005e-06,0.00075,4.65e-06,0.00075,4.7250000000000005e-06,0.0007416666666666666,4.7e-06,7.416666666666666,47.0,-11.1049525921354,-11.1049525921354,-10.300104381916302,-7.47712999969947e-05,-7.47712999969947e-05,-0.8049229815190918,-10.8366698553957,-0.26835750803969527,10.839992126702082,10.847137627119006,11.104952592387123,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1903,981,982,1014,0.0007250000000000001,4.8e-06,0.0007250000000000001,4.875e-06,0.00075,4.8e-06,0.0007333333333333333,4.8249999999999995e-06,7.333333333333333,48.24999999999999,-14.300382252231007,-13.082041880159755,-13.082041880159755,1.2182720652774837,-6.830679377050643e-05,-6.830679377050643e-05,-13.488155337516838,0.40604515056331425,13.49426571078545,13.505421818310978,14.352181694256766,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p5_temperature_250k_on_proxy,T=250 K on proxy,top_primary,interface_4x,T03_P5_TEMPERATURE,0.0,1.0,0.01,channel,1904,981,1013,1014,0.0007250000000000001,4.8e-06,0.00075,4.7250000000000005e-06,0.00075,4.8e-06,0.0007416666666666666,4.775e-06,7.416666666666666,47.75,-13.082041880159753,-13.082041880159755,-12.043746045464015,-7.213199356546852e-05,-7.213199356546852e-05,-1.0383679666893069,-12.735943268594509,-0.3461707435588126,12.740646966483054,12.750836361957795,13.082041880358616,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
