mesh_level,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
coarse,channel,0.00025,3.6000000000000003e-06,2.5,36.0,0.0010129136706633782,9507795935689964.0
coarse,channel,0.00025,4.2000000000000004e-06,2.5,42.00000000000001,0.0010868860380527868,9535040276630874.0
coarse,channel,0.00025,4.8e-06,2.5,48.0,0.0011305696394004168,9551165778191180.0
coarse,channel,0.00025,5.4e-06,2.5,54.0,0.0011450149223917333,9556504152028746.0
coarse,channel,0.00030000000000000003,3e-06,3.0000000000000004,30.0,0.0010906814747533148,9361943321644704.0
coarse,channel,0.00030000000000000003,3.6000000000000003e-06,3.0000000000000004,36.0,0.0012182316599042406,9408247973820454.0
coarse,channel,0.00030000000000000003,4.2000000000000004e-06,3.0000000000000004,42.00000000000001,0.0013072335259469582,9440693974783232.0
coarse,channel,0.00030000000000000003,4.8e-06,3.0000000000000004,48.0,0.0013598006735998122,9459910078211676.0
coarse,channel,0.00030000000000000003,5.4e-06,3.0000000000000004,54.0,0.0013771848798601323,9466273536630098.0
coarse,channel,0.00035,3e-06,3.5,30.0,0.0012753208497889412,9254763687773612.0
coarse,channel,0.00035,3.6000000000000003e-06,3.5,36.0,0.0014244910144979876,9308319499919464.0
coarse,channel,0.00035,4.2000000000000004e-06,3.5,42.00000000000001,0.0015286032714398482,9345881914157240.0
coarse,channel,0.00035,4.8e-06,3.5,48.0,0.0015901045169233149,9368141974108774.0
coarse,channel,0.00035,5.4e-06,3.5,54.0,0.0016104448186626177,9375515701829152.0
coarse,channel,0.0004,3e-06,4.0,30.0,0.001460807631388232,9147335642907190.0
coarse,channel,0.0004,3.6000000000000003e-06,4.0,36.0,0.0016317049318286107,9208005339957626.0
coarse,channel,0.0004,4.2000000000000004e-06,4.0,42.00000000000001,0.0017510096112586075,9250597643816584.0
coarse,channel,0.0004,4.8e-06,4.0,48.0,0.001821496225209806,9275854199415210.0
coarse,channel,0.0004,5.4e-06,4.0,54.0,0.0018448100403925982,9284223102510478.0
coarse,channel,0.00045000000000000004,3e-06,4.5,30.0,0.0016471538173056014,9039655488060422.0
coarse,channel,0.00045000000000000004,3.6000000000000003e-06,4.5,36.0,0.0018398869208623725,9107300198464128.0
coarse,channel,0.00045000000000000004,4.2000000000000004e-06,4.5,42.00000000000001,0.0019744672206198485,9154834561192604.0
coarse,channel,0.00045000000000000004,4.8e-06,4.5,48.0,0.0020539912098170455,9183039315757806.0
coarse,channel,0.00045000000000000004,5.4e-06,4.5,54.0,0.0020802962079933354,9192388014537552.0
coarse,channel,0.0005,3e-06,5.0,30.0,0.0018343716912966402,8931719434710854.0
coarse,channel,0.0005,3.6000000000000003e-06,5.0,36.0,0.0020490508125464314,9006198654482888.0
coarse,channel,0.0005,4.2000000000000004e-06,5.0,42.00000000000001,0.002198991124526312,9058585907033768.0
coarse,channel,0.0005,4.8e-06,5.0,48.0,0.002287605249487377,9089689707115890.0
coarse,channel,0.0005,5.4e-06,5.0,54.0,0.002316919357818659,9100002528765550.0
coarse,channel,0.0005499999999999999,3e-06,5.499999999999999,30.0,0.002022473832755477,8823523601762256.0
coarse,channel,0.0005499999999999999,3.6000000000000003e-06,5.499999999999999,36.0,0.0022592107706579804,8904695157353771.0
coarse,channel,0.0005499999999999999,4.2000000000000004e-06,5.499999999999999,42.00000000000001,0.0024245967095529596,8961844760136571.0
coarse,channel,0.0005499999999999999,4.8e-06,5.499999999999999,48.0,0.0025223545027275272,8995797573830835.0
coarse,channel,0.0005499999999999999,5.4e-06,5.499999999999999,54.0,0.0025546959122162405,9007058544794453.0
coarse,channel,0.0006000000000000001,3e-06,6.000000000000001,30.0,0.002211473126773748,8715064012375004.0
coarse,channel,0.0006000000000000001,3.6000000000000003e-06,6.000000000000001,36.0,0.002470381303127991,8802784022309431.0
coarse,channel,0.0006000000000000001,4.2000000000000004e-06,6.000000000000001,42.00000000000001,0.0026512997361486583,8864604031846211.0
coarse,channel,0.0006000000000000001,4.8e-06,6.000000000000001,48.0,0.0027582555207299876,8901354926353471.0
coarse,channel,0.0006000000000000001,5.4e-06,6.000000000000001,54.0,0.002793642692661352,8913547764448591.0
coarse,channel,0.0006500000000000001,3e-06,6.500000000000001,30.0,0.0024013827746439285,8606336590655973.0
coarse,channel,0.0006500000000000001,3.6000000000000003e-06,6.500000000000001,36.0,0.0026825772738651795,8700459425877921.0
coarse,channel,0.0006500000000000001,4.2000000000000004e-06,6.500000000000001,42.00000000000001,0.0028791163514812917,8766856460314563.0
coarse,channel,0.0006500000000000001,4.8e-06,6.500000000000001,48.0,0.0029953252608652127,8806353578715144.0
coarse,channel,0.0006500000000000001,5.4e-06,6.500000000000001,54.0,0.003033776933470844,8819461684967779.0
coarse,channel,0.0007,3e-06,7.0,30.0,0.0025922163048312814,8497337158200233.0
coarse,channel,0.0007,3.6000000000000003e-06,7.0,36.0,0.0028958139151074925,8597715401080406.0
coarse,channel,0.0007,4.2000000000000004e-06,7.0,42.00000000000001,0.0031080631028559402,8668594604502282.0
coarse,channel,0.0007,4.8e-06,7.0,48.0,0.003233581100775782,8710785141707412.0
coarse,channel,0.0007,5.4e-06,7.0,54.0,0.0032751162961289844,8724791591894374.0
coarse,channel,0.00075,3e-06,7.5,30.0,0.002783987584441962,8388061430476984.0
coarse,channel,0.00075,3.6000000000000003e-06,7.5,36.0,0.003110106840332026,8494545832413386.0
coarse,channel,0.00075,4.2000000000000004e-06,7.5,42.00000000000001,0.00333815695173967,8569810837911575.0
coarse,channel,0.00075,4.8e-06,7.5,48.0,0.003473040853107698,8614641015754947.0
coarse,channel,0.00075,5.4e-06,7.5,54.0,0.003517678884260908,8629528551640137.0
coarse,channel,0.0008,3e-06,8.0,30.0,0.0029767108317100073,8278505013211351.0
coarse,channel,0.0008,3.6000000000000003e-06,8.0,36.0,0.0033254720582867347,8390944450778003.0
coarse,channel,0.0008,4.2000000000000004e-06,8.0,42.00000000000001,0.0035694152889859192,8470497342219784.0
coarse,channel,0.0008,4.8e-06,8.0,48.0,0.0037137227814898915,8517912383656144.0
coarse,channel,0.0008,5.4e-06,8.0,54.0,0.0037614832598708114,8533663403908772.0
coarse,channel,0.0008500000000000001,3e-06,8.5,30.0,0.0031704007696285257,8168663443532194.0
coarse,channel,0.0008500000000000001,3.6000000000000003e-06,8.5,36.0,0.003541926138982493,8286904877202813.0
coarse,channel,0.0008500000000000001,4.2000000000000004e-06,8.5,42.00000000000001,0.0038018561099104385,8370646152677333.0
coarse,channel,0.0008500000000000001,4.8e-06,8.5,48.0,0.003955645781167691,8420590256908182.0
coarse,channel,0.0008500000000000001,5.4e-06,8.5,54.0,0.004006548625846342,8437186808315871.0
coarse,channel,0.0009000000000000001,3e-06,9.0,30.0,0.003365112116904692,8058544639450853.0
coarse,channel,0.0009000000000000001,3.6000000000000003e-06,9.0,36.0,0.0037595290677867508,8182434325522917.0
coarse,channel,0.0009000000000000001,4.2000000000000004e-06,9.0,42.00000000000001,0.004035543374738539,8270263806954741.0
coarse,channel,0.0009000000000000001,4.8e-06,9.0,48.0,0.00419887628219922,8322680712103759.0
coarse,channel,0.0009000000000000001,5.4e-06,9.0,54.0,0.0042529422496260655,8340104679884745.0
coarse,channel,0.00095,3e-06,9.5,30.0,0.00357142780446632,7951436460629670.0
coarse,channel,0.00095,3.6000000000000003e-06,9.5,36.0,0.003990618477288362,8081420287509808.0
coarse,channel,0.00095,4.2000000000000004e-06,9.5,42.00000000000001,0.004283996071092174,8173653673347291.0
coarse,channel,0.00095,4.8e-06,9.5,48.0,0.004457613642345617,8228731447453473.0
coarse,channel,0.00095,5.4e-06,9.5,54.0,0.004515085574746837,8247045272354444.0
coarse,channel,0.001,3e-06,10.0,30.0,0.01,1e+16
coarse,channel,0.001,3.6000000000000003e-06,10.0,36.0,0.01,1e+16
coarse,channel,0.001,4.2000000000000004e-06,10.0,42.00000000000001,0.01,1e+16
coarse,channel,0.001,4.8e-06,10.0,48.0,0.01,1e+16
coarse,channel,0.001,5.4e-06,10.0,54.0,0.01,1e+16
