mesh_level,region,x_cm,y_cm,x_um,y_nm,potential_v,electron_density_cm3
fine,bottom_oxide,0.00045000000000000004,2.5e-06,4.5,25.000000000000004,0.00136786413866158,
fine,bottom_oxide,0.00045000000000000004,3e-06,4.5,30.0,0.0016414368073304445,
fine,bottom_oxide,0.000475,0.0,4.75,0.0,0.0,
fine,bottom_oxide,0.000475,5e-07,4.75,5.0,0.0002891016481796463,
fine,bottom_oxide,0.000475,1e-06,4.75,10.0,0.0005782032817955924,
fine,bottom_oxide,0.000475,1.5e-06,4.75,15.0,0.0008673048862841384,
fine,bottom_oxide,0.000475,2e-06,4.75,20.0,0.0011564064470815855,
fine,bottom_oxide,0.000475,2.5e-06,4.75,25.000000000000004,0.0014455079496242366,
fine,bottom_oxide,0.000475,3e-06,4.75,30.0,0.001734609379348396,
fine,bottom_oxide,0.0005,0.0,5.0,0.0,0.0,
fine,bottom_oxide,0.0005,5e-07,5.0,5.0,0.00030466682003641826,
fine,bottom_oxide,0.0005,1e-06,5.0,10.0,0.0006093336254045125,
fine,bottom_oxide,0.0005,1.5e-06,5.0,15.0,0.0009140004014359588,
fine,bottom_oxide,0.0005,2e-06,5.0,20.0,0.0012186671334624348,
fine,bottom_oxide,0.0005,2.5e-06,5.0,25.000000000000004,0.0015233338068156195,
fine,bottom_oxide,0.0005,3e-06,5.0,30.0,0.0018280004068271932,
fine,bottom_oxide,0.0005250000000000001,0.0,5.250000000000001,0.0,0.0,
fine,bottom_oxide,0.0005250000000000001,5e-07,5.250000000000001,5.0,0.0003202686627035184,
fine,bottom_oxide,0.0005250000000000001,1e-06,5.250000000000001,10.0,0.0006405373106328292,
fine,bottom_oxide,0.0005250000000000001,1.5e-06,5.250000000000001,15.0,0.0009608059290137254,
fine,bottom_oxide,0.0005250000000000001,2e-06,5.250000000000001,20.0,0.0012810745030720008,
fine,bottom_oxide,0.0005250000000000001,2.5e-06,5.250000000000001,25.000000000000004,0.0016013430180334513,
fine,bottom_oxide,0.0005250000000000001,3e-06,5.250000000000001,30.0,0.0019216114591238738,
fine,bottom_oxide,0.0005499999999999999,0.0,5.499999999999999,0.0,0.0,
fine,bottom_oxide,0.0005499999999999999,5e-07,5.499999999999999,5.0,0.0003359074408895488,
fine,bottom_oxide,0.0005499999999999999,1e-06,5.499999999999999,10.0,0.0006718148668977258,
fine,bottom_oxide,0.0005499999999999999,1.5e-06,5.499999999999999,15.0,0.0010077222631431593,
fine,bottom_oxide,0.0005499999999999999,2e-06,5.499999999999999,20.0,0.0013436296147444791,
fine,bottom_oxide,0.0005499999999999999,2.5e-06,5.499999999999999,25.000000000000004,0.0016795369068203165,
fine,bottom_oxide,0.0005499999999999999,3e-06,5.499999999999999,30.0,0.0020154441244893046,
fine,bottom_oxide,0.000575,0.0,5.75,0.0,0.0,
fine,bottom_oxide,0.000575,5e-07,5.75,5.0,0.0003515834225054234,
fine,bottom_oxide,0.000575,1e-06,5.75,10.0,0.0007031668300210076,
fine,bottom_oxide,0.000575,1.5e-06,5.75,15.0,0.0010547502075569145,
fine,bottom_oxide,0.000575,2e-06,5.75,20.0,0.0014063335401233064,
fine,bottom_oxide,0.000575,2.5e-06,5.75,25.000000000000004,0.0017579168127303474,
fine,bottom_oxide,0.000575,3e-06,5.75,30.0,0.002109500010388204,
fine,bottom_oxide,0.0006000000000000001,0.0,6.000000000000001,0.0,0.0,
fine,bottom_oxide,0.0006000000000000001,5e-07,6.000000000000001,5.0,0.00036729687871887205,
fine,bottom_oxide,0.0006000000000000001,1e-06,6.000000000000001,10.0,0.000734593742338113,
fine,bottom_oxide,0.0006000000000000001,1.5e-06,6.000000000000001,15.0,0.0011018905757580921,
fine,bottom_oxide,0.0006000000000000001,2e-06,6.000000000000001,20.0,0.00146918736387918,
fine,bottom_oxide,0.0006000000000000001,2.5e-06,6.000000000000001,25.000000000000004,0.0018364840916017492,
fine,bottom_oxide,0.0006000000000000001,3e-06,6.000000000000001,30.0,0.0022037807438261728,
fine,bottom_oxide,0.000625,0.0,6.25,0.0,0.0,
fine,bottom_oxide,0.000625,5e-07,6.25,5.0,0.00038304808401014415,
fine,bottom_oxide,0.000625,1e-06,6.25,10.0,0.0007660961528095173,
fine,bottom_oxide,0.000625,1.5e-06,6.25,15.0,0.001149144191187349,
fine,bottom_oxide,0.000625,2e-06,6.25,20.0,0.0015321921839328697,
fine,bottom_oxide,0.000625,2.5e-06,6.25,25.000000000000004,0.0019152401158353124,
fine,bottom_oxide,0.000625,3e-06,6.25,30.0,0.0022982879716839104,
fine,bottom_oxide,0.0006500000000000001,0.0,6.500000000000001,0.0,0.0,
fine,bottom_oxide,0.0006500000000000001,5e-07,6.500000000000001,5.0,0.0003988373162289438,
fine,bottom_oxide,0.0006500000000000001,1e-06,6.500000000000001,10.0,0.0007976746171346056,
fine,bottom_oxide,0.0006500000000000001,1.5e-06,6.500000000000001,15.0,0.001196511887393704,
fine,bottom_oxide,0.0006500000000000001,2e-06,6.500000000000001,20.0,0.001595349111682959,
fine,bottom_oxide,0.0006500000000000001,2.5e-06,6.500000000000001,25.000000000000004,0.0019941862746790918,
fine,bottom_oxide,0.0006500000000000001,3e-06,6.500000000000001,30.0,0.002393023361058826,
fine,bottom_oxide,0.000675,0.0,6.75,0.0,0.0,
fine,bottom_oxide,0.000675,5e-07,6.75,5.0,0.00041466485665262733,
fine,bottom_oxide,0.000675,1e-06,6.75,10.0,0.0008293296978680669,
fine,bottom_oxide,0.000675,1.5e-06,6.75,15.0,0.0012439945082091317,
fine,bottom_oxide,0.000675,2e-06,6.75,20.0,0.0016586592722386353,
fine,bottom_oxide,0.000675,2.5e-06,6.75,25.000000000000004,0.0020733239745193937,
fine,bottom_oxide,0.000675,3e-06,6.75,30.0,0.0024879885996142246,
fine,bottom_oxide,0.0007,0.0,7.0,0.0,0.0,
fine,bottom_oxide,0.0007,5e-07,7.0,5.0,0.00043053099004570225,
fine,bottom_oxide,0.0007,1e-06,7.0,10.0,0.0008610619645388918,
fine,bottom_oxide,0.0007,1.5e-06,7.0,15.0,0.0012915929079270565,
fine,bottom_oxide,0.0007,2e-06,7.0,20.0,0.001722123804657685,
fine,bottom_oxide,0.0007,2.5e-06,7.0,25.000000000000004,0.002152654639178269,
fine,bottom_oxide,0.0007,3e-06,7.0,30.0,0.0025831853959363,
fine,bottom_oxide,0.0007250000000000001,0.0,7.250000000000001,0.0,0.0,
fine,bottom_oxide,0.0007250000000000001,5e-07,7.250000000000001,5.0,0.00044643600472065885,
