row_uid,curve_id,dataset_id,split,kind,topology,source_path,source_row_number,source_row_sha256,selection_role,optimizer_input,vbg_v,vtg_v,vds_v,primary_axis_v,target_current_a_per_cm,w_um,l_um,temperature_k
train_t01_single_idvd_vgs_0p5:002,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,14,194e11c54383f19b2141b67b8eba727c377a39e3a0df65b84df2a1b74116054c,scored,True,0.5,0.0,0.05,0.05,0.0001052667090477718,60.0,10.0,300.0
train_t01_single_idvd_vgs_0p5:003,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,15,535ee76811900bbac099323931befbd67407be58451b0e3edd6f384da9fc3e32,scored,True,0.5,0.0,0.1,0.1,0.000200014905089826,60.0,10.0,300.0
train_t01_single_idvd_vgs_0p5:004,train_t01_single_idvd_vgs_0p5,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,16,e6e8bc2b9aca1f2b634828cd934426252b9b5d36489c90011dc4f7e5915bd29d,scored,True,0.5,0.0,0.2,0.2,0.0003561717502476149,60.0,10.0,300.0
train_t01_single_idvd_vgs_1p0:000,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,17,00f4c2100416c99d04d5dc7b941f4d3f014c44c7cb74376236bc72c11d75e08a,zero_vds_invariant,False,1.0,0.0,0.0,0.0,3.379165716833452e-19,60.0,10.0,300.0
train_t01_single_idvd_vgs_1p0:001,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,18,281caa058b65eee5c9b53529dc5ec06a785a385cffb840235504117fd1a4d5b2,repeated_low_vds_audit,False,1.0,0.0,0.01,0.01,3.800270837723992e-05,60.0,10.0,300.0
train_t01_single_idvd_vgs_1p0:002,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,19,27adbc4a7075ceec55fb89837a3613258020ee7c99c37f3af3e9cb29be3793a2,scored,True,1.0,0.0,0.05,0.05,0.00018645946223379113,60.0,10.0,300.0
train_t01_single_idvd_vgs_1p0:003,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,20,8d7d93ce1965a872b3d0bf438f497235155cec816dd18e19fd9449214246559f,scored,True,1.0,0.0,0.1,0.1,0.0003612710661579342,60.0,10.0,300.0
train_t01_single_idvd_vgs_1p0:004,train_t01_single_idvd_vgs_1p0,T01_D_B_IDVD,train,output,single_bottom_gate,results/tables/tcad_t01_d_idvd_points.csv,21,3f96ef8e1a2b8291c7ad2abe2ff8f084faf3181f050898fff296e2ddb4ab584c,scored,True,1.0,0.0,0.2,0.2,0.0006652668981208667,60.0,10.0,300.0
train_t02_dual_secondary_m0p3:000,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,results/tables/tcad_t02_c_bidirectional_families.csv,2,15bad3ecbede4d5724ba26537e4a65a4c3446c40ced5db708b3c2f721f87e35a,scored,True,-0.3,-0.5,0.01,-0.5,3.802631747464787e-13,60.0,10.0,300.0
train_t02_dual_secondary_m0p3:001,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,results/tables/tcad_t02_c_bidirectional_families.csv,3,817469f68e9cd8f14210866272f3039c8596a248e8f614d852692cf3f239e478,scored,True,-0.3,-0.45,0.01,-0.45,9.531624202190283e-13,60.0,10.0,300.0
train_t02_dual_secondary_m0p3:002,train_t02_dual_secondary_m0p3,T02_C_DG_TRANSFER,train,transfer,symmetric_dual_gate,results/tables/tcad_t02_c_bidirectional_families.csv,4,384955933f997494dba46a3c7d7cfadda8bdd7b0a7aa33b0f60d697d66c44edb,scored,True,-0.3,-0.4,0.01,-0.4,2.4205511186451624e-12,60.0,10.0,300.0
