vg,vd,id_raw,id_abs
1.3,0.9,-2.66687639e-05,2.66687639e-05
1.35,0.9,-2.82372189e-05,2.82372189e-05
1.4,0.9,-2.98245896e-05,2.98245896e-05
1.45,0.9,-3.14290781e-05,3.14290781e-05
1.5,0.9,-3.30490549e-05,3.30490549e-05
1.55,0.9,-3.46830466e-05,3.46830466e-05
1.6,0.9,-3.63297234e-05,3.63297234e-05
1.65,0.9,-3.79878874e-05,3.79878874e-05
1.7,0.9,-3.96564603e-05,3.96564603e-05
1.75,0.9,-4.13344728e-05,4.13344728e-05
1.8,0.9,-4.3016907e-05,4.3016907e-05
1.85,0.9,-4.47116514e-05,4.47116514e-05
1.9,0.9,-4.64134412e-05,4.64134412e-05
1.95,0.9,-4.81216494e-05,4.81216494e-05
2.0,0.9,-4.98357131e-05,4.98357131e-05
2.05,0.9,-5.15551265e-05,5.15551265e-05
2.1,0.9,-5.3279435e-05,5.3279435e-05
2.15,0.9,-5.50082296e-05,5.50082296e-05
2.2,0.9,-5.67411424e-05,5.67411424e-05
2.25,0.9,-5.84778418e-05,5.84778418e-05
2.3,0.9,-6.02180288e-05,6.02180288e-05
2.35,0.9,-6.19614335e-05,6.19614335e-05
2.4,0.9,-6.37078122e-05,6.37078122e-05
2.45,0.9,-6.54569441e-05,6.54569441e-05
2.5,0.9,-6.72086295e-05,6.72086295e-05
2.55,0.9,-6.89626871e-05,6.89626871e-05
2.6,0.9,-7.07189523e-05,7.07189523e-05
2.65,0.9,-7.24772752e-05,7.24772752e-05
2.7,0.9,-7.42375196e-05,7.42375196e-05
2.75,0.9,-7.59995609e-05,7.59995609e-05
2.8,0.9,-7.77632855e-05,7.77632855e-05
2.85,0.9,-7.95285893e-05,7.95285893e-05
2.9,0.9,-8.12953771e-05,8.12953771e-05
2.95,0.9,-8.30635614e-05,8.30635614e-05
3.0,0.9,-8.48330616e-05,8.48330616e-05
3.05,0.9,-8.66038038e-05,8.66038038e-05
3.1,0.9,-8.83757196e-05,8.83757196e-05
3.15,0.9,-9.01487459e-05,9.01487459e-05
3.2,0.9,-9.19228244e-05,9.19228244e-05
3.25,0.9,-9.36979008e-05,9.36979008e-05
3.3,0.9,-9.54739251e-05,9.54739251e-05
-3.0,1.7,-2.19646726e-10,2.19646726e-10
-2.95,1.7,-2.19698871e-10,2.19698871e-10
-2.9,1.7,-2.19774669e-10,2.19774669e-10
-2.85,1.7,-2.19873734e-10,2.19873734e-10
-2.8,1.7,-2.20003205e-10,2.20003205e-10
-2.75,1.7,-2.20172414e-10,2.20172414e-10
-2.7,1.7,-2.20393557e-10,2.20393557e-10
-2.65,1.7,-2.20720669e-10,2.20720669e-10
-2.6,1.7,-2.21110067e-10,2.21110067e-10
-2.55,1.7,-2.21618958e-10,2.21618958e-10
-2.5,1.7,-2.22284002e-10,2.22284002e-10
-2.45,1.7,-2.23153098e-10,2.23153098e-10
-2.4,1.7,-2.24288831e-10,2.24288831e-10
-2.35,1.7,-2.25772969e-10,2.25772969e-10
-2.3,1.7,-2.27712341e-10,2.27712341e-10
-2.25,1.7,-2.30246504e-10,2.30246504e-10
-2.2,1.7,-2.33557763e-10,2.33557763e-10
-2.15,1.7,-2.37884238e-10,2.37884238e-10
-2.1,1.7,-2.43536936e-10,2.43536936e-10
-2.05,1.7,-2.50922006e-10,2.50922006e-10
-2.0,1.7,-2.60569796e-10,2.60569796e-10
-1.95,1.7,-2.73172729e-10,2.73172729e-10
-1.9,1.7,-2.89634697e-10,2.89634697e-10
-1.85,1.7,-3.11135444e-10,3.11135444e-10
-1.8,1.7,-3.39214433e-10,3.39214433e-10
-1.75,1.7,-3.75880075e-10,3.75880075e-10
-1.7,1.7,-4.23751896e-10,4.23751896e-10
-1.65,1.7,-4.86245462e-10,4.86245462e-10
-1.6,1.7,-5.67812771e-10,5.67812771e-10
-1.55,1.7,-6.74254495e-10,6.74254495e-10
-1.5,1.7,-8.13125195e-10,8.13125195e-10
-1.45,1.7,-9.94258638e-10,9.94258638e-10
-1.4,1.7,-1.23044806e-09,1.23044806e-09
-1.35,1.7,-1.53832585e-09,1.53832585e-09
-1.3,1.7,-1.93949944e-09,1.93949944e-09
-1.25,1.7,-2.46201549e-09,2.46201549e-09
-1.2,1.7,-3.14224338e-09,3.14224338e-09
-1.15,1.7,-4.02729279e-09,4.02729279e-09
-1.1,1.7,-5.17810865e-09,5.17810865e-09
-1.05,1.7,-6.6734216e-09,6.6734216e-09
-1.0,1.7,-8.61477328e-09,8.61477328e-09
-0.95,1.7,-1.11328845e-08,1.11328845e-08
-0.9,1.7,-1.43956888e-08,1.43956888e-08
-0.85,1.7,-1.86184175e-08,1.86184175e-08
-0.8,1.7,-2.4076184e-08,2.4076184e-08
-0.75,1.7,-3.11195871e-08,3.11195871e-08
-0.7,1.7,-4.01939074e-08,4.01939074e-08
-0.65,1.7,-5.1862523e-08,5.1862523e-08
-0.6,1.7,-6.68351849e-08,6.68351849e-08
-0.55,1.7,-8.60017733e-08,8.60017733e-08
-0.5,1.7,-1.10472061e-07,1.10472061e-07
-0.45,1.7,-1.41621838e-07,1.41621838e-07
-0.4,1.7,-1.81145451e-07,1.81145451e-07
-0.35,1.7,-2.31114374e-07,2.31114374e-07
-0.3,1.7,-2.94040811e-07,2.94040811e-07
-0.25,1.7,-3.72944476e-07,3.72944476e-07
-0.2,1.7,-4.71419657e-07,4.71419657e-07
-0.15,1.7,-5.9369818e-07,5.9369818e-07
-0.1,1.7,-7.4470223e-07,7.4470223e-07
-0.05,1.7,-9.30078895e-07,9.30078895e-07
-2.28983499e-15,1.7,-1.15620639e-06,1.15620639e-06
0.05,1.7,-1.43016067e-06,1.43016067e-06
0.1,1.7,-1.75963161e-06,1.75963161e-06
0.15,1.7,-2.15278095e-06,2.15278095e-06
0.2,1.7,-2.61804049e-06,2.61804049e-06
0.25,1.7,-3.16385739e-06,3.16385739e-06
0.3,1.7,-3.79840282e-06,3.79840282e-06
0.35,1.7,-4.52926787e-06,4.52926787e-06
0.4,1.7,-5.36317442e-06,5.36317442e-06
0.45,1.7,-6.30572792e-06,6.30572792e-06
0.5,1.7,-7.36123326e-06,7.36123326e-06
0.55,1.7,-8.5325865e-06,8.5325865e-06
0.6,1.7,-9.82124546e-06,9.82124546e-06
0.65,1.7,-1.12272733e-05,1.12272733e-05
0.7,1.7,-1.27494428e-05,1.27494428e-05
0.75,1.7,-1.43853857e-05,1.43853857e-05
0.8,1.7,-1.61317694e-05,1.61317694e-05
0.85,1.7,-1.79844859e-05,1.79844859e-05
0.9,1.7,-1.99388396e-05,1.99388396e-05
0.95,1.7,-2.19897241e-05,2.19897241e-05
1.0,1.7,-2.41317804e-05,2.41317804e-05
1.05,1.7,-2.63595348e-05,2.63595348e-05
1.1,1.7,-2.86675125e-05,2.86675125e-05
1.15,1.7,-3.10503292e-05,3.10503292e-05
1.2,1.7,-3.35027622e-05,3.35027622e-05
1.25,1.7,-3.60198014e-05,3.60198014e-05
1.3,1.7,-3.85966861e-05,3.85966861e-05
1.35,1.7,-4.12289265e-05,4.12289265e-05
1.4,1.7,-4.39123162e-05,4.39123162e-05
1.45,1.7,-4.66429346e-05,4.66429346e-05
1.5,1.7,-4.9417144e-05,4.9417144e-05
1.55,1.7,-5.22315814e-05,5.22315814e-05
1.6,1.7,-5.50831467e-05,5.50831467e-05
1.65,1.7,-5.79689893e-05,5.79689893e-05
1.7,1.7,-6.08864929e-05,6.08864929e-05
1.75,1.7,-6.38332595e-05,6.38332595e-05
1.8,1.7,-6.6807094e-05,6.6807094e-05
1.85,1.7,-6.98059882e-05,6.98059882e-05
1.9,1.7,-7.28281061e-05,7.28281061e-05
1.95,1.7,-7.58717692e-05,7.58717692e-05
2.0,1.7,-7.89354431e-05,7.89354431e-05
2.05,1.7,-8.20177249e-05,8.20177249e-05
2.1,1.7,-8.51088737e-05,8.51088737e-05
2.15,1.7,-8.82252009e-05,8.82252009e-05
2.2,1.7,-9.13565557e-05,9.13565557e-05
2.25,1.7,-9.45019572e-05,9.45019572e-05
2.3,1.7,-9.76605058e-05,9.76605058e-05
2.35,1.7,-0.000100831376,0.000100831376
2.4,1.7,-0.000104013808,0.000104013808
2.45,1.7,-0.000107207103,0.000107207103
2.5,1.7,-0.00011041062,0.00011041062
2.55,1.7,-0.000113623764,0.000113623764
2.6,1.7,-0.000116845989,0.000116845989
2.65,1.7,-0.000120076788,0.000120076788
2.7,1.7,-0.000123315692,0.000123315692
2.75,1.7,-0.000126562268,0.000126562268
2.8,1.7,-0.000129816113,0.000129816113
2.85,1.7,-0.000133076853,0.000133076853
2.9,1.7,-0.000136344139,0.000136344139
2.95,1.7,-0.000139617648,0.000139617648
3.0,1.7,-0.000142897076,0.000142897076
3.05,1.7,-0.000146182143,0.000146182143
3.1,1.7,-0.000149472583,0.000149472583
3.15,1.7,-0.00015276815,0.00015276815
3.2,1.7,-0.000156068613,0.000156068613
3.25,1.7,-0.000159373753,0.000159373753
3.3,1.7,-0.000162683367,0.000162683367
-3.0,2.5,-3.22921246e-10,3.22921246e-10
-2.95,2.5,-3.22974198e-10,3.22974198e-10
-2.9,2.5,-3.23051169e-10,3.23051169e-10
-2.85,2.5,-3.23151766e-10,3.23151766e-10
-2.8,2.5,-3.2328324e-10,3.2328324e-10
-2.75,2.5,-3.23455068e-10,3.23455068e-10
-2.7,2.5,-3.23679633e-10,3.23679633e-10
-2.65,2.5,-3.23973118e-10,3.23973118e-10
-2.6,2.5,-3.2440723e-10,3.2440723e-10
-2.55,2.5,-3.24923996e-10,3.24923996e-10
-2.5,2.5,-3.25599331e-10,3.25599331e-10
-2.45,2.5,-3.26481875e-10,3.26481875e-10
-2.4,2.5,-3.27635182e-10,3.27635182e-10
-2.35,2.5,-3.29142285e-10,3.29142285e-10
-2.3,2.5,-3.31111667e-10,3.31111667e-10
-2.25,2.5,-3.33685044e-10,3.33685044e-10
-2.2,2.5,-3.3704754e-10,3.3704754e-10
-2.15,2.5,-3.41440963e-10,3.41440963e-10
-2.1,2.5,-3.4718113e-10,3.4718113e-10
-2.05,2.5,-3.54680476e-10,3.54680476e-10
-2.0,2.5,-3.64477555e-10,3.64477555e-10
