Index          V(NORM)               V(VOV100T050R0125)        I(VDDV100T050R0125)         V(VOV100T050R0250)        I(VDDV100T050R0250)         V(VOV100T050R0500)        I(VDDV100T050R0500)         V(VOV100T075R0125)        I(VDDV100T075R0125)         V(VOV100T075R0250)        I(VDDV100T075R0250)         V(VOV100T075R0500)        I(VDDV100T075R0500)         V(VOV100T100R0125)        I(VDDV100T100R0125)         V(VOV100T100R0250)        I(VDDV100T100R0250)         V(VOV100T100R0500)        I(VDDV100T100R0500)         V(VOV200T050R0125)        I(VDDV200T050R0125)         V(VOV200T050R0250)        I(VDDV200T050R0250)         V(VOV200T050R0500)        I(VDDV200T050R0500)         V(VOV200T075R0125)        I(VDDV200T075R0125)         V(VOV200T075R0250)        I(VDDV200T075R0250)         V(VOV200T075R0500)        I(VDDV200T075R0500)         V(VOV200T100R0125)        I(VDDV200T100R0125)         V(VOV200T100R0250)        I(VDDV200T100R0250)         V(VOV200T100R0500)        I(VDDV200T100R0500)    
42       4.19999999999999984e-01    1.16048060837898852e-02   -2.29526490561506489e-08    2.10407250451394162e-02   -3.77564847400902528e-08    3.51438323695727889e-02   -5.42687008543721814e-08    1.38281222818281528e-02   -2.67380906413112295e-08    2.48807015148882898e-02   -4.28772763077067701e-08    4.07846439150723050e-02   -5.92576868464287211e-08    1.61684375227903014e-02   -3.05210220908865686e-08    2.88575494096219437e-02   -4.76714102621922152e-08    4.63268829386415185e-02   -6.33959885989031986e-08    2.42188602205219636e-02   -6.10463404503985121e-08    4.47911676485981541e-02   -9.40427047007957020e-08    7.49695111359228172e-02   -1.19055003470690320e-07    3.11100986280035754e-02   -7.38661000705361657e-08    5.79145636712516329e-02   -1.07707905263569297e-07    9.43118413805457689e-02   -1.25984450085842808e-07    3.88553933184889871e-02   -8.61026039816769895e-08    7.25415872890761981e-02   -1.17798235769613659e-07    1.13003667334023422e-01   -1.29208556521291584e-07
43       4.29999999999999993e-01    1.15084105299460629e-02   -2.29964257874711681e-08    2.08750121729048832e-02   -3.78923819412757968e-08    3.49015022627248636e-02   -5.46023744728324076e-08    1.37126108862908481e-02   -2.67964618513678652e-08    2.46851348176951244e-02   -4.30549371859591887e-08    4.05132441055279860e-02   -5.96700926899771905e-08    1.60325432356073320e-02   -3.05965780614849210e-08    2.86318737844976426e-02   -4.78963226382728209e-08    4.60329779231518285e-02   -6.38863009767810671e-08    2.38710576197393338e-02   -6.12985097051983564e-08    4.41451594803244154e-02   -9.48692715336597720e-08    7.40535673218099683e-02   -1.20908299014898131e-07    3.06386715544139619e-02   -7.42435188472561783e-08    5.70383143174133314e-02   -1.08924306976563067e-07    9.32464835926902907e-02   -1.28269550328972805e-07    3.82309974699384866e-02   -8.66475727121593140e-08    7.14265335777381771e-02   -1.19457315244519685e-07    1.11892607065132002e-01   -1.31752307913325110e-07
44       4.40000000000000002e-01    1.14133630164902009e-02   -2.30396328650211130e-08    2.07114462322019188e-02   -3.80267715419997501e-08    3.46616225455946420e-02   -5.49337471004005187e-08    1.35987244611145974e-02   -2.68540720421737505e-08    2.44920516152044299e-02   -4.32306924942964785e-08    4.02442614670103643e-02   -6.00801849805918700e-08    1.58985697364176851e-02   -3.06711474901773720e-08    2.84089707188316699e-02   -4.81189331587894524e-08    4.57412547316397577e-02   -6.43745737338282696e-08    2.35330705701810271e-02   -6.15440330170544780e-08    4.35164686735662679e-02   -9.56771169925065953e-08    7.31518862015580612e-02   -1.22747827834826398e-07    3.01813263500245038e-02   -7.46104852733981381e-08    5.61845334944357788e-02   -1.10115632555404870e-07    9.21902027516057349e-02   -1.30555527742985775e-07    3.76262498869920012e-02   -8.71767683535092858e-08    7.03353543964761324e-02   -1.21090525656043197e-07    1.10783850484895988e-01   -1.34312739251426801e-07
45       4.50000000000000011e-01    1.13196414586840041e-02   -2.30822785416437120e-08    2.05499983036811495e-02   -3.81596674688319376e-08    3.44241818210172731e-02   -5.52628023309768400e-08    1.34864364100978108e-02   -2.69109321213743223e-08    2.43014216219926520e-02   -4.34045563811019155e-08    3.99776973511026257e-02   -6.04879254808474599e-08    1.57664858072980169e-02   -3.07447442810021276e-08    2.81888116597656564e-02   -4.83392531593853011e-08    4.54517304700375741e-02   -6.48607423218031341e-08    2.32045440541419658e-02   -6.17831281822885370e-08    4.29046225858583166e-02   -9.64665666005625592e-08    7.22646937443251480e-02   -1.24572388138720826e-07    2.97375282092303024e-02   -7.49673542782957446e-08    5.53528468684303526e-02   -1.11281918485403438e-07    9.11435549595355499e-02   -1.32840595210323924e-07    3.70403894655173746e-02   -8.76907257798307653e-08    6.92682260000360706e-02   -1.22696947820045653e-07    1.09677937264883660e-01   -1.36888393821963072e-07
46       4.60000000000000020e-01    1.12272241444530980e-02   -2.31243709643040215e-08    2.03906396920399864e-02   -3.82910837658651071e-08    3.41891680060600195e-02   -5.55895252069961126e-08    1.33757205718950233e-02   -2.69670528676545724e-08    2.41132146035772620e-02   -4.35765433374898391e-08    3.97135520033565712e-02   -6.08932779241914287e-08    1.56362607121737947e-02   -3.08173821940545666e-08    2.79713677923634323e-02   -4.85572946909844086e-08    4.51644208659355492e-02   -6.53447444023951297e-08    2.28851375408175087e-02   -6.20160055039566209e-08    4.23091505851976857e-02   -9.72379614935899388e-08    7.13921808912568318e-02   -1.26380849577379142e-07    2.93067642565996433e-02   -7.53144691107028412e-08    5.45428486541470747e-02   -1.12423270329913814e-07    9.01070821174995568e-02   -1.35122961421383330e-07    3.64726831250946695e-02   -8.81899661811118238e-08    6.82252395892672114e-02   -1.24275803139482551e-07    1.08575419926052824e-01   -1.39477742791994616e-07
47       4.70000000000000029e-01    1.11360897291766601e-02   -2.31659181742984934e-08    2.02333419352377746e-02   -3.84210345798160038e-08    3.39565683649232647e-02   -5.59139021851351927e-08    1.32665512151175936e-02   -2.70224449301398972e-08    2.39274003971119212e-02   -4.37466681709035163e-08    3.94518245961146194e-02   -6.12962079936748694e-08    1.55078641936249352e-02   -3.08890748431295249e-08    2.77566100759699744e-02   -4.87730704782449980e-08    4.48793402872831523e-02   -6.58265198607351213e-08    2.25745244032522288e-02   -6.22428679844592296e-08    4.17295857500290593e-02   -9.79916553853786042e-08    7.05345036442172474e-02   -1.28172156492725472e-07    2.88885428245226790e-02   -7.56521614500277411e-08    5.37541067192817690e-02   -1.13539855630058112e-07    8.90813088108211304e-02   -1.37400840430534435e-07    3.59224256542574547e-02   -8.86749963475689356e-08    6.72064060925505191e-02   -1.25826449899808836e-07    1.07476862287597744e-01   -1.42079188296357881e-07
48       4.79999999999999982e-01    1.10462172304613832e-02   -2.32069281075411368e-08    2.00780768129596686e-02   -3.85495341458017282e-08    3.37263695413468206e-02   -5.62359211013717577e-08    1.31589030333177873e-02   -2.70771188279517263e-08    2.37439489308558932e-02   -4.39149459797249520e-08    3.91925132617512856e-02   -6.16966832982830375e-08    1.53812664693829190e-02   -3.09598356936549055e-08    2.75445092789145737e-02   -4.89865938792363125e-08    4.45965017627536972e-02   -6.63060108146304643e-08    2.22723913491502182e-02   -6.24639115258545352e-08    4.11654663330102005e-02   -9.87280118241871940e-08    6.96917834669219111e-02   -1.29945330333979555e-07    2.84823927113933006e-02   -7.59807515690624698e-08    5.29861673543805187e-02   -1.14631897025978739e-07    8.80667392938303262e-02   -1.39672461316030811e-07    3.53889393688808576e-02   -8.91463081743705353e-08    6.62116615777662010e-02   -1.27348378102043281e-07    1.06382837662539295e-01   -1.44691067384125299e-07
49       4.89999999999999991e-01    1.09575860229089404e-02   -2.32474085949204237e-08    1.99248163543659443e-02   -3.86765967737722667e-08    3.34985575904800034e-02   -5.65555711355037641e-08    1.30527511398721690e-02   -2.71310849499074911e-08    2.35628302424630148e-02   -4.40813921288794663e-08    3.89356151262391162e-02   -6.20946733470289811e-08    1.52564382285474108e-02   -3.10296780608997338e-08    2.73350360115900207e-02   -4.91978788463499962e-08    4.43159170036640446e-02   -6.67831616196502066e-08    2.19784378671361094e-02   -6.26793251353996089e-08    4.06163370081767949e-02   -9.94474017261348387e-08    6.88641079752019963e-02   -1.31699471256681802e-07    2.80878624299630737e-02   -7.63005485381419526e-08    5.22385596835828539e-02   -1.15699665673105809e-07    8.70638546252005124e-02   -1.41936077792522191e-07    3.48715736216516012e-02   -8.96043783521690034e-08    6.52408731191981006e-02   -1.28841203096335496e-07    1.05293926805331159e-01   -1.47311656843526402e-07
50       5.00000000000000000e-01    1.08701758328814489e-02   -2.32873673627225366e-08    1.97735328451587762e-02   -3.88022368355797993e-08    3.32731180101749485e-02   -5.68728427752362691e-08    1.29480710627771223e-02   -2.71843535543561281e-08    2.33840144961314569e-02   -4.42460222264194027e-08    3.86811263429459873e-02   -6.24901495209761212e-08    1.51333506275477536e-02   -3.10986151084403797e-08    2.71281607579418882e-02   -4.94069398884547285e-08    4.40375964273373027e-02   -6.72579188701988346e-08    2.16923756896349879e-02   -6.28892911342339020e-08    4.00817499209862940e-02   -1.00150201169753047e-07    6.80515318888799264e-02   -1.33433758935272761e-07    2.77045194537557278e-02   -7.66118504621261510e-08    5.15107997033382725e-02   -1.16743475008041365e-07    8.60731100026049523e-02   -1.44189977623768607e-07    3.43697041949468166e-02   -9.00496682131815192e-08    6.42938449535135487e-02   -1.30304658278656560e-07    1.04210715622971226e-01   -1.49939178906553093e-07
51       5.10000000000000009e-01    1.07839667332729726e-02   -2.33268120331161996e-08    1.96241988340001977e-02   -3.89264687526658248e-08    3.30500357716700319e-02   -5.71877277799357266e-08    1.28448387393696704e-02   -2.72369347691402108e-08    2.32074719986585000e-02   -4.44088521010671010e-08    3.84290421265753232e-02   -6.28830850433513566e-08    1.50119752858735162e-02   -3.11666598468687197e-08    2.69238539054047349e-02   -4.96137920342968636e-08    4.37615491817984342e-02   -6.77302313967243343e-08    2.14139282731942576e-02   -6.30939853674484984e-08    3.95612655602182867e-02   -1.00836789434788081e-07    6.72540782146200389e-02   -1.35147452633151713e-07    2.73319494679412321e-02   -7.69149447428612152e-08    5.08023939461907936e-02   -1.17763674901899100e-07    8.50949323410373770e-02   -1.46432491686817279e-07    3.38827326044969304e-02   -9.04826237064782448e-08    6.33703247735392800e-02   -1.31738587103047643e-07    1.03133792667659832e-01   -1.52571807814572010e-07
52       5.20000000000000018e-01    1.06989391382907167e-02   -2.33657501246946636e-08    1.94767871383123084e-02   -3.90493069843472908e-08    3.28292953496315820e-02   -5.75002191441482116e-08    1.27430305109851091e-02   -2.72888385916766260e-08    2.30331732144418780e-02   -4.45698977806985860e-08    3.81793567871653514e-02   -6.32734549479105273e-08    1.48922842815957454e-02   -3.12338251327288857e-08    2.67220857733229331e-02   -4.98184507971460031e-08    4.34877831716899838e-02   -6.82000502592160350e-08    2.11428302967770348e-02   -6.32935774140776000e-08    3.90544534699279744e-02   -1.01507547267797972e-07    6.64717396271194555e-02   -1.36839890584937367e-07    2.69697556298011884e-02   -7.72101083608903209e-08    5.01128427747924293e-02   -1.18760646224460012e-07    8.41297181333841709e-02   -1.48662002547263982e-07    3.34100853368594838e-02   -9.09036754796766012e-08    6.24700100263961416e-02   -1.33142934643991330e-07    1.02063746435685374e-01   -1.55207677204941040e-07
53       5.30000000000000027e-01    1.06150737982532439e-02   -2.34041890530705810e-08    1.93312708494911799e-02   -3.91707660166810090e-08    3.26108807515272867e-02   -5.78103110609697783e-08    1.26426231175635236e-02   -2.73400748891476362e-08    2.28610887794704065e-02   -4.47291754717452616e-08    3.79320637640679151e-02   -6.36612360457120380e-08    1.47742501467022086e-02   -3.13001236676664797e-08    2.65228266398980575e-02   -5.00209321406798706e-08    4.32163050852982164e-02   -6.86673287371519033e-08    2.08788271783176618e-02   -6.34882307957965791e-08    3.85608928186763830e-02   -1.02162855356988021e-07    6.57044800150737990e-02   -1.38510488753916350e-07    2.66175578428440827e-02   -7.74976081711452480e-08    4.94416433176304571e-02   -1.19734795830295315e-07    8.31778316249177502e-02   -1.50876952417881368e-07    3.29512130399506470e-02   -9.13132390473976859e-08    6.15925541022216347e-02   -1.34517738920161288e-07    1.01001162503690289e-01   -1.57844888256566265e-07
54       5.40000000000000036e-01    1.05323517944080486e-02   -2.34421361315201220e-08    1.91876233375628744e-02   -3.92908603518894214e-08    3.23947755463070558e-02   -5.81179988853578437e-08    1.25435936922135820e-02   -2.73906533987950747e-08    2.26911895143444634e-02   -4.48867015394944193e-08    3.76871556598303778e-02   -6.40464068904556085e-08    1.46578458622631629e-02   -3.13655679977788801e-08    2.63260467677023484e-02   -5.02212524461014403e-08    4.29471204225788314e-02   -6.91320223160649315e-08    2.06216746096335515e-02   -6.36781031833269929e-08    3.80801728421657562e-02   -1.02803092998974101e-07    6.49522361583952795e-02   -1.40158739033400293e-07    2.62749920477288214e-02   -7.77777012081860183e-08    4.87882920627071698e-02   -1.20686551967978757e-07    8.22396033256033027e-02   -1.53075850389275324e-07    3.25055896826101157e-02   -9.17117150296411829e-08    6.07375723199584730e-02   -1.35863122164169063e-07    9.99466205394922980e-02   -1.60481518510391183e-07
55       5.50000000000000044e-01    1.04507545337752649e-02   -2.34795985716721281e-08    1.90458182553121767e-02   -3.94096044983268533e-08    3.21809628923724264e-02   -5.84232790974596698e-08    1.24459197557452439e-02   -2.74405837283106158e-08    2.25234464363681594e-02   -4.50424924892636659e-08    3.74446242739109800e-02   -6.44289477425341952e-08    1.45430448534496510e-02   -3.14301705131524503e-08    2.61317164278025878e-02   -5.04194284804748010e-08    4.26802335240746428e-02   -6.95940886708972196e-08    2.03711381096271758e-02   -6.38633465997328294e-08    3.76118931742382492e-02   -1.03428636940678735e-07    6.42149195040526422e-02   -1.41784206964060608e-07    2.59417095323977200e-02   -7.80506349972776772e-08    4.81522871287871634e-02   -1.21616360105502087e-07    8.13153288758082515e-02   -1.55257278840570987e-07    3.20727116963641715e-02   -9.20994894456993501e-08    5.99046476364881245e-02   -1.37179282194809482e-07    9.89006912299097568e-02   -1.63115631259904835e-07
56       5.60000000000000053e-01    1.03702637440201209e-02   -2.35165834842391514e-08    1.89058295419096516e-02   -3.95270129609687959e-08    3.19694255648167794e-02   -5.87261492660354898e-08    1.23495792111791968e-02   -2.74898753563151790e-08    2.23578307707517285e-02   -4.51965649484276327e-08    3.72044606361608549e-02   -6.48088405319465212e-08    1.44298209844192313e-02   -3.14939434475752160e-08    2.59398059225368523e-02   -5.06154773662673598e-08    4.24156476006183614e-02   -7.00534876463184369e-08    2.01269925955803244e-02   -6.40441076199522867e-08    3.71556640800000879e-02   -1.04039860380269942e-07    6.34924180095058494e-02   -1.43386529040468664e-07    2.56173762631862686e-02   -7.83166478682152584e-08    4.75331302360385496e-02   -1.22524679158809381e-07    8.04052682725301254e-02   -1.57419898959549909e-07    3.16520971101461046e-02   -9.24769340513934862e-08    5.90933360239897232e-02   -1.38466484020223811e-07    9.78639331722938738e-02   -1.65745285387840830e-07
57       5.70000000000000062e-01    1.02908614683576514e-02   -2.35530978797871492e-08    1.87676314260652836e-02   -3.96431002324051928e-08    3.17601459819229909e-02   -5.90266080120456461e-08    1.22545503382411134e-02   -2.75385376329213127e-08    2.21943139609644784e-02   -4.53489356492736376e-08    3.69666550400102809e-02   -6.51860688202116430e-08    1.43181485530860172e-02   -3.15568988784134300e-08    2.57502856069882248e-02   -5.08094165520797982e-08    4.21533647637169703e-02   -7.05101812341862090e-08    1.98890219722426369e-02   -6.42205275660441479e-08    3.67111066036429623e-02   -1.04637132111891386e-07    6.27845980248724761e-02   -1.44965409679291601e-07    2.53016722381573106e-02   -7.85759692693402331e-08    4.69303283991357664e-02   -1.23411978105754360e-07    7.95096454549597126e-02   -1.59562455324200397e-07    3.12432846866890768e-02   -9.28444067092930265e-08    5.83031714772697385e-02   -1.39725051773510714e-07    9.68368897794583960e-02   -1.68368545509219566e-07
58       5.79999999999999960e-01    1.02125300604947577e-02   -2.35891486695396527e-08    1.86311984287339180e-02   -3.97578807843191630e-08    3.15531062309082899e-02   -5.93246549724657012e-08    1.21608117878495760e-02   -2.75865797803722341e-08    2.20328676782761447e-02   -4.54996214126612952e-08    3.67311970753031805e-02   -6.55606177614211179e-08    1.42080022857915041e-02   -3.16190487266407023e-08    2.55631259092001899e-02   -5.10012637845460387e-08    4.18933860565163935e-02   -7.09641335483250103e-08    1.96570187383343711e-02   -6.43927426977427584e-08    3.62778526423722311e-02   -1.05220815799858192e-07    6.20913061875436323e-02   -1.46520617919197593e-07    2.49942908634712899e-02   -7.88288200796510140e-08    4.63433953663511394e-02   -1.24278732964535268e-07    7.86286482403834031e-02   -1.61683779520383161e-07    3.08458330675738732e-02   -9.32022517832112517e-08    5.75336706276267304e-02   -1.40955361057470967e-07    9.58200862492268463e-02   -1.70983492268613736e-07
