state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,21,11,13,71,2.5e-05,3.3750000000000003e-06,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,3.3333333333333335e-05,3.4e-06,0.33333333333333337,34.0,-0.07835004740863272,-0.07274489235488503,-0.07274489235488503,0.002821305983032984,-0.0027838490707146903,-0.0027838490707146903,-0.07461327737280092,-0.0009154640527987988,0.0746188932827504,0.07466570234328561,0.07840082714094854,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,22,11,70,71,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,5e-05,3.3750000000000003e-06,4.1666666666666665e-05,3.35e-06,0.41666666666666663,33.5,-0.07274489235488503,-0.07274489235488503,-0.06743048998754778,1.6030320491905723e-06,1.6030320491905723e-06,-0.0053127993352880655,-0.07097342489910595,-0.0017698644237298946,0.07099548902562343,0.07104308224119063,0.07274489237254751,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,23,12,13,14,0.0,3.45e-06,2.5e-05,3.45e-06,0.0,3.525e-06,8.333333333333334e-06,3.4749999999999998e-06,0.08333333333333334,34.75,-0.3035955210654784,-0.30359552106545784,-0.30359552106545784,2.0533130391281273e-14,0.0,0.0,-0.30359552106546467,6.8443767970937575e-15,0.30359552106546467,0.30359552106546467,0.3035955210654784,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,24,13,14,15,2.5e-05,3.45e-06,0.0,3.525e-06,2.5e-05,3.525e-06,1.6666666666666667e-05,3.5000000000000004e-06,0.16666666666666669,35.00000000000001,-0.33396641591547027,-0.33396641591547027,-0.3036966533991184,-0.0034410153636445094,-0.003441015363644509,-0.0337107778799964,-0.3238764950766863,-0.013530936202428472,0.32415902007760483,0.3245100612799823,0.3339841426567401,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,25,13,15,72,2.5e-05,3.45e-06,2.5e-05,3.525e-06,5e-05,3.45e-06,3.3333333333333335e-05,3.4749999999999998e-06,0.33333333333333337,34.75,-0.0910383924644915,-0.08454009045364157,-0.08454009045364157,0.003057286647205406,-0.0034410153636445094,-0.003441015363644509,-0.08670619112392487,-0.0012749146933612042,0.08671556369357197,0.08676996509176392,0.09108971349258907,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,26,13,71,72,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,5e-05,3.45e-06,4.1666666666666665e-05,3.4250000000000002e-06,0.41666666666666663,34.25,-0.08454009045364157,-0.08454009045364157,-0.07837699444632928,2.0560914930234247e-06,2.0560914930234247e-06,-0.006161039915819275,-0.0824857251178708,-0.0020523092442777426,0.08251125269595105,0.08256631841665826,0.08454009047864457,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,27,14,15,16,0.0,3.525e-06,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,8.333333333333334e-06,3.5500000000000003e-06,0.08333333333333334,35.5,-0.33396641591546583,-0.33396641591547027,-0.33396641591547027,-4.427629194885449e-15,0.0,0.0,-0.3339664159154688,-1.4758763982951498e-15,0.3339664159154688,0.3339664159154688,0.33396641591547027,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,28,15,16,17,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,1.6666666666666667e-05,3.575e-06,0.16666666666666669,35.75,-0.3666920159510164,-0.36669201595101647,-0.334076706658902,-0.004148271853253207,-0.004148271853253207,-0.036763581145367714,-0.35582024618697833,-0.015020041617291376,0.3561371214107665,0.3565081360168303,0.3667154792500434,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,29,15,17,73,2.5e-05,3.525e-06,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,3.3333333333333335e-05,3.5500000000000003e-06,0.33333333333333337,35.5,-0.10574605546712314,-0.09821425251187883,-0.09821425251187883,0.003383531101991091,-0.004148271853253207,-0.004148271853253207,-0.10072485349696027,-0.0016376708681717742,0.10073816594447492,0.10080126999843464,0.10580017263489708,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
top_positive_bottom_negative_asymmetry,top-positive bottom-negative asymmetry,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,0.3,0.01,channel,30,15,72,73,2.5e-05,3.525e-06,5e-05,3.45e-06,5e-05,3.525e-06,4.1666666666666665e-05,3.5000000000000004e-06,0.41666666666666663,35.00000000000001,-0.09821425251187883,-0.09821425251187883,-0.09106899243002554,2.558217706899979e-06,2.558217706899979e-06,-0.007142701864146393,-0.09583249915126107,-0.0023791951429108643,0.0958620282651296,0.09592572514210329,0.09821425254519618,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
