state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,21,11,13,71,2.5e-05,3.3750000000000003e-06,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,3.3333333333333335e-05,3.4e-06,0.33333333333333337,34.0,-6.73974193341512e-06,-6.722670343141861e-06,-6.722670343141861e-06,1.7099669293177626e-08,2.8079019917714097e-11,2.8079019917714093e-11,-6.7283608732329464e-06,5.718609111004351e-09,6.728363303429905e-06,6.728368103969751e-06,6.739763625508251e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,22,11,70,71,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,5e-05,3.3750000000000003e-06,4.1666666666666665e-05,3.35e-06,0.41666666666666663,33.5,-6.722670343141861e-06,-6.722670343141861e-06,-6.7072313893199635e-06,2.328392169980439e-10,2.328392169980439e-10,-1.5206114604899047e-08,-6.717524025201229e-06,-4.91347872363432e-09,6.7175258221631635e-06,6.717529773569171e-06,6.722670347174046e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,23,12,13,14,0.0,3.45e-06,2.5e-05,3.45e-06,0.0,3.525e-06,8.333333333333334e-06,3.4749999999999998e-06,0.08333333333333334,34.75,-6.753721174205167e-06,-6.753721079234676e-06,-6.753721079234676e-06,9.497049021349782e-14,0.0,0.0,-6.753721110891506e-06,3.165683007116594e-14,6.753721110891506e-06,6.753721110891506e-06,6.753721174205168e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,24,13,14,15,2.5e-05,3.45e-06,0.0,3.525e-06,2.5e-05,3.525e-06,1.6666666666666667e-05,3.5000000000000004e-06,0.16666666666666669,35.00000000000001,-6.782540761741938e-06,-6.782540761741937e-06,-6.753807288158456e-06,2.8917457255004216e-11,2.8917457255004216e-11,-2.870455612622698e-08,-6.77296293721411e-06,-9.548907070572324e-09,6.772969668505997e-06,6.772983270177227e-06,6.782540761803583e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,25,13,15,72,2.5e-05,3.45e-06,2.5e-05,3.525e-06,5e-05,3.45e-06,3.3333333333333335e-05,3.4749999999999998e-06,0.33333333333333337,34.75,-6.769513773471607e-06,-6.754000565018738e-06,-6.754000565018738e-06,1.5542125910123394e-08,2.8917457255004216e-11,2.8917457255004216e-11,-6.759171634503028e-06,5.1999869415444665e-09,6.759173634737795e-06,6.759177581730648e-06,6.7695316150306585e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,26,13,71,72,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,5e-05,3.45e-06,4.1666666666666665e-05,3.4250000000000002e-06,0.41666666666666663,34.25,-6.754000565018738e-06,-6.754000565018738e-06,-6.739834976705503e-06,2.5082747870659733e-10,2.5082747870659733e-10,-1.391476083452787e-08,-6.7492787022476605e-06,-4.471035292371558e-09,6.7492801831580865e-06,6.749283493312731e-06,6.754000569676306e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,27,14,15,16,0.0,3.525e-06,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,8.333333333333334e-06,3.5500000000000003e-06,0.08333333333333334,35.5,-6.782540885020968e-06,-6.782540761741937e-06,-6.782540761741938e-06,1.2327903042443455e-13,0.0,0.0,-6.782540802834948e-06,4.109301014147818e-14,6.782540802834948e-06,6.782540802834948e-06,6.782540885020969e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,28,15,16,17,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,1.6666666666666667e-05,3.575e-06,0.16666666666666669,35.75,-6.808429066902275e-06,-6.808429066902274e-06,-6.782618231766604e-06,2.870986994180595e-11,2.8709869941805953e-11,-2.578212526572975e-08,-6.7998254551903844e-06,-8.574901841948712e-09,6.799830861866839e-06,6.799841789030838e-06,6.808429066962807e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,29,15,17,73,2.5e-05,3.525e-06,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,3.3333333333333335e-05,3.5500000000000003e-06,0.33333333333333337,35.5,-6.79640667447465e-06,-6.782471682573593e-06,-6.782471682573594e-06,1.396370177099806e-08,2.870986994180595e-11,2.8709869941805953e-11,-6.7871166798739456e-06,4.673707170293891e-09,6.787118289065091e-06,6.787121461479448e-06,6.796421019169628e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_negative_off_proxy,dual-negative off proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,-0.3,-0.3,0.01,channel,30,15,72,73,2.5e-05,3.525e-06,5e-05,3.45e-06,5e-05,3.525e-06,4.1666666666666665e-05,3.5000000000000004e-06,0.41666666666666663,35.00000000000001,-6.782471682573594e-06,-6.782471682573593e-06,-6.769598244527453e-06,2.58545341168044e-10,2.58545341168044e-10,-1.2614892704973698e-08,-6.778180536558213e-06,-4.032600674212537e-09,6.778181736132838e-06,6.778184457736687e-06,6.782471687501421e-06,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
