state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-6.905197408611836,-6.905197408611836,-6.905197408611836,0.0,0.0,0.0,-6.905197408611836,0.0,6.905197408611836,6.905197408611836,6.905197408611836,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2052,1058,1090,1091,0.0008,3.1500000000000003e-06,0.000825,3.075e-06,0.000825,3.1500000000000003e-06,0.0008166666666666666,3.125e-06,8.166666666666666,31.25,-11.033369253038112,-11.033369253038114,-11.710458586965204,-7.96064298085163e-06,-7.96064298085163e-06,0.6770813732841121,-11.259065697680477,0.22568848399938346,11.261327438472566,11.265584894224164,11.730016176590524,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2053,1059,1060,1092,0.0008,3.225e-06,0.0008,3.3e-06,0.000825,3.225e-06,0.0008083333333333333,3.25e-06,8.083333333333334,32.5,-9.348722131410765,-9.858000514273092,-9.858000514273092,-0.5092852874037002,-6.904541374068705e-06,-6.904541374068705e-06,-9.688241053318983,-0.16976636549548277,9.68972834119042,9.692861637683606,9.85800051427551,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2054,1059,1091,1092,0.0008,3.225e-06,0.000825,3.1500000000000003e-06,0.000825,3.225e-06,0.0008166666666666666,3.2e-06,8.166666666666666,32.0,-9.858000514273092,-9.858000514273092,-10.421093505883116,-8.471468641641553e-06,-8.471468641641553e-06,0.5630845201413814,-10.0456981781431,0.18768919240136606,10.047451374318358,10.050765354160358,10.43629503392761,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2055,1060,1061,1093,0.0008,3.3e-06,0.0008,3.3750000000000003e-06,0.000825,3.3e-06,0.0008083333333333333,3.325e-06,8.083333333333334,33.25,-8.44196427718181,-8.872372042068394,-8.872372042068394,-0.4304118082113949,-4.043324811919634e-06,-4.043324811919634e-06,-8.728902787106199,-0.14347329828700625,8.73008181256463,8.732557822929193,8.872372042069316,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2056,1060,1092,1093,0.0008,3.3e-06,0.000825,3.225e-06,0.000825,3.3e-06,0.0008166666666666666,3.275e-06,8.166666666666666,32.75,-8.872372042068394,-8.872372042068394,-9.34577409014301,-6.912893195999365e-06,-6.9128931959993645e-06,0.47339513518142035,-9.030172724759932,0.15779376979834278,9.031551268347283,9.034166675878806,9.357755943494244,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2057,1061,1062,1094,0.0008,3.3750000000000003e-06,0.0008,3.45e-06,0.000825,3.3750000000000003e-06,0.0008083333333333333,3.4e-06,8.083333333333334,34.0,-7.670540328763312,-8.037607860208526,-8.037607860208526,-0.3670679362654723,-4.048202589610615e-07,-4.0482025896106145e-07,-7.915252016393455,-0.12235624863533007,7.91619766899493,7.918177968874886,8.037607860208537,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2058,1061,1093,1094,0.0008,3.3750000000000003e-06,0.000825,3.3e-06,0.000825,3.3750000000000003e-06,0.0008166666666666666,3.35e-06,8.166666666666666,33.5,-8.037607860208526,-8.037607860208526,-8.43946747505217,-4.0465086989655e-06,-4.0465086989655e-06,0.40185556833494784,-8.171561065156409,0.1339491584391833,8.172658846337995,8.174748400265079,8.449029480376149,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2059,1062,1063,1095,0.0008,3.45e-06,0.0008,3.525e-06,0.000825,3.45e-06,0.0008083333333333333,3.4749999999999998e-06,8.083333333333334,34.75,-7.008707477226817,-7.324316689156001,-7.324316689156,-0.31560556920950966,3.6427196743555034e-06,3.6427196743555034e-06,-7.21911361851294,-0.10519942792338699,7.21988007910342,7.221481064827554,7.324316689156907,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2060,1062,1094,1095,0.0008,3.45e-06,0.000825,3.3750000000000003e-06,0.000825,3.45e-06,0.0008166666666666666,3.4250000000000002e-06,8.166666666666666,34.25,-7.324316689156001,-7.324316689156001,-7.668406855659433,-4.0147560914563786e-07,-4.014756091456378e-07,0.34408976502782157,-7.439013411323812,0.11469632069220109,7.439897565144017,7.441585397756735,7.67612281495818,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
bottom_threshold_region_proxy,bottom-primary threshold-region proxy,bottom_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.0,0.01,channel,2061,1063,1064,1096,0.0008,3.525e-06,0.0008,3.6000000000000003e-06,0.000825,3.525e-06,0.0008083333333333333,3.5500000000000003e-06,8.083333333333334,35.5,-6.436577033324703,-6.70994385173123,-6.70994385173123,-0.27335897940606796,7.839000458901e-06,7.839000458901e-06,-6.6188215789290545,-0.09111443380171673,6.619448688051287,6.620755615888517,6.70994385173581,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
