state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-11.317074550452261,-11.317074550452261,-11.317074550452261,0.0,0.0,0.0,-11.317074550452261,0.0,11.317074550452261,11.317074550452261,11.317074550452261,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1035,534,535,567,0.0004,3.45e-06,0.0004,3.525e-06,0.00042500000000000003,3.45e-06,0.0004083333333333333,3.4749999999999998e-06,4.083333333333333,34.75,-9.349833320750344,-9.646869284383897,-9.646869284383897,-0.29707310718527546,-3.7143551723659163e-05,-3.7143551723659163e-05,-9.547857296506045,-0.09904913142957426,9.548371048764322,9.549430054874058,9.646869284455404,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1036,534,566,567,0.0004,3.45e-06,0.00042500000000000003,3.3750000000000003e-06,0.00042500000000000003,3.45e-06,0.0004166666666666667,3.4250000000000002e-06,4.166666666666667,34.25,-9.646869284383897,-9.646869284383897,-9.9897922361051,-3.817516249486536e-05,-3.817516249486536e-05,0.34288477655870725,-9.76117693495763,0.11426947541123918,9.761845761358842,9.76313785938956,9.995675009249823,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1037,535,536,568,0.0004,3.525e-06,0.0004,3.6000000000000003e-06,0.00042500000000000003,3.525e-06,0.0004083333333333333,3.5500000000000003e-06,4.083333333333333,35.5,-8.819192668709007,-9.063965975697833,-9.063965975697833,-0.2448084251649151,-3.5118176089826895e-05,-3.5118176089826895e-05,-8.982374873368224,-0.08162622050569825,8.982745749802277,8.983507245103594,9.063965975765866,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1038,535,567,568,0.0004,3.525e-06,0.00042500000000000003,3.45e-06,0.00042500000000000003,3.525e-06,0.0004166666666666667,3.5000000000000004e-06,4.166666666666667,35.00000000000001,-9.063965975697833,-9.063965975697833,-9.348089841368065,-3.717876269123537e-05,-3.717876269123537e-05,0.2840866869075414,-9.158673930921244,0.09467077646071964,9.159163211170116,9.160112489044785,9.352405515586186,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1039,536,537,569,0.0004,3.6000000000000003e-06,0.0004,3.6750000000000004e-06,0.00042500000000000003,3.6000000000000003e-06,0.0004083333333333333,3.625e-06,4.083333333333333,36.25,-8.381395744770813,-8.582408643138077,-8.582408643138077,-0.20104521409734796,-3.231573008308049e-05,-3.231573008308049e-05,-8.515404343682322,-0.06703661518583805,8.515668208906412,8.516207976095446,8.582408643198917,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1040,536,568,569,0.0004,3.6000000000000003e-06,0.00042500000000000003,3.525e-06,0.00042500000000000003,3.6000000000000003e-06,0.0004166666666666667,3.575e-06,4.166666666666667,35.75,-8.582408643138077,-8.582408643138077,-8.817752317866677,-3.5152449928087874e-05,-3.5152449928087874e-05,0.23530852227867252,-8.660856534714277,0.07841273912627211,8.66121148988756,8.66190291341008,8.820891453810104,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1041,537,538,570,0.0004,3.6750000000000004e-06,0.0004,3.7500000000000005e-06,0.00042500000000000003,3.6750000000000004e-06,0.0004083333333333333,3.7000000000000006e-06,4.083333333333333,37.00000000000001,-8.02224416485491,-8.185997636257683,-8.185997636257683,-0.163782396310796,-2.8924908023927044e-05,-2.892490802392704e-05,-8.131413145790093,-0.05461341537561462,8.131596545123653,8.131970385547135,8.185997636308786,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1042,537,569,570,0.0004,3.6750000000000004e-06,0.00042500000000000003,3.6000000000000003e-06,0.00042500000000000003,3.6750000000000004e-06,0.0004166666666666667,3.6500000000000006e-06,4.166666666666667,36.50000000000001,-8.185997636257683,-8.185997636257683,-8.380210068875103,-3.234814534688367e-05,-3.234814534688367e-05,0.1941800844720734,-8.250735113796823,0.0647051293937932,8.250988829940916,8.251484912971497,8.382459466271294,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1043,538,539,571,0.0004,3.7500000000000005e-06,0.0004,3.825000000000001e-06,0.00042500000000000003,3.7500000000000005e-06,0.0004083333333333333,3.7750000000000003e-06,4.083333333333333,37.75,-7.730854825850802,-7.862328004129535,-7.862328004129535,-0.13149826697928768,-2.508870055380144e-05,-2.5088700553801436e-05,-7.818503611369958,-0.04384948146013176,7.818626573639989,7.818876371892401,7.862328004169564,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
dual_positive_on_proxy,dual-positive on proxy,top_primary,interface_4x,T02_C_BIDIRECTIONAL,0.3,0.3,0.01,channel,1044,538,570,571,0.0004,3.7500000000000005e-06,0.00042500000000000003,3.6750000000000004e-06,0.00042500000000000003,3.7500000000000005e-06,0.0004166666666666667,3.7250000000000003e-06,4.166666666666667,37.25,-7.862328004129535,-7.862328004129535,-8.021276060361043,-2.895458639960458e-05,-2.895458639960458e-05,0.15891910164510906,-7.915310689540038,0.05295373082410328,7.915487818798977,7.915835394182913,8.022850174183041,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
