state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,21,11,13,71,2.5e-05,3.3750000000000003e-06,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,3.3333333333333335e-05,3.4e-06,0.33333333333333337,34.0,-0.0907771939555028,-0.09042802122741576,-0.09042802122741576,-0.0006949684670222652,-0.001044141195109299,-0.001044141195109299,-0.09054441213677811,-0.0009277502857469544,0.09054916504191209,0.09054931752138597,0.09077985417263638,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,22,11,70,71,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,5e-05,3.3750000000000003e-06,4.1666666666666665e-05,3.35e-06,0.41666666666666663,33.5,-0.09042802122741576,-0.09042802122741576,-0.09037831922806866,1.1914557376149972e-06,1.1914557376149972e-06,-4.8510543609491536e-05,-0.09041145389430005,-1.537587737808718e-05,0.09041145520175388,0.09041145823920317,0.09042802123526492,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,23,12,13,14,0.0,3.45e-06,2.5e-05,3.45e-06,0.0,3.525e-06,8.333333333333334e-06,3.4749999999999998e-06,0.08333333333333334,34.75,-0.15442494429774392,-0.15442494429775053,-0.15442494429775053,-6.613771109860141e-15,0.0,0.0,-0.15442494429774833,-2.2045903699533804e-15,0.15442494429774833,0.15442494429774833,0.15442494429775053,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,24,13,14,15,2.5e-05,3.45e-06,0.0,3.525e-06,2.5e-05,3.525e-06,1.6666666666666667e-05,3.5000000000000004e-06,0.16666666666666669,35.00000000000001,-0.15582480107966576,-0.15582480107966576,-0.15443282240733985,-0.001234057859658188,-0.0012340578596581882,-0.0026260365319840844,-0.15536080818889045,-0.0016980507504334868,0.15537008752477505,0.15537150767571026,0.15582968757691323,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,25,13,15,72,2.5e-05,3.45e-06,2.5e-05,3.525e-06,5e-05,3.45e-06,3.3333333333333335e-05,3.4749999999999998e-06,0.33333333333333337,34.75,-0.0917630070309337,-0.09111938960148722,-0.09111938960148722,-0.000590440430211713,-0.001234057859658188,-0.0012340578596581882,-0.09133392874463604,-0.001019518716509363,0.0913396187770869,0.09134013274631979,0.09176490657795504,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,26,13,71,72,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,5e-05,3.45e-06,4.1666666666666665e-05,3.4250000000000002e-06,0.41666666666666663,34.25,-0.09111938960148722,-0.09111938960148722,-0.09077613467944239,1.378475163380301e-06,1.378475163380301e-06,-0.00034187644688146214,-0.09100497129413894,-0.00011303983218490051,0.0910050414990879,0.09100518589326782,0.09111938961191417,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,27,14,15,16,0.0,3.525e-06,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,8.333333333333334e-06,3.5500000000000003e-06,0.08333333333333334,35.5,-0.155824801079679,-0.15582480107966576,-0.15582480107966576,1.3199869537252249e-14,0.0,0.0,-0.15582480107967017,4.3999565124174166e-15,0.15582480107967017,0.15582480107967017,0.155824801079679,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,28,15,16,17,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,1.6666666666666667e-05,3.575e-06,0.16666666666666669,35.75,-0.15787478582503117,-0.15787478582503117,-0.1558351927833583,-0.0014243081847697733,-0.0014243081847697733,-0.003463901226442643,-0.1571949214778069,-0.002104172531994063,0.1572090038148524,0.15721203564743177,0.15788121057651117,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,29,15,17,73,2.5e-05,3.525e-06,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,3.3333333333333335e-05,3.5500000000000003e-06,0.33333333333333337,35.5,-0.09335736102883299,-0.09240802600307299,-0.09240802600307299,-0.00047497315900977123,-0.0014243081847697733,-0.0014243081847697733,-0.09272447101165966,-0.0011078631761831058,0.09273108909750416,0.0927321910673486,0.09335856927872044,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,30,15,72,73,2.5e-05,3.525e-06,5e-05,3.45e-06,5e-05,3.525e-06,4.1666666666666665e-05,3.5000000000000004e-06,0.41666666666666663,35.00000000000001,-0.09240802600307299,-0.09240802600307299,-0.09176316564978121,1.546973913685224e-06,1.546973913685224e-06,-0.0006433133793781096,-0.09219307255197573,-0.00021340647718357973,0.0921933195459322,0.09219382421845161,0.09240802601602169,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,31,16,17,18,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,0.0,3.6750000000000004e-06,8.333333333333334e-06,3.625e-06,0.08333333333333334,36.25,-0.1578747858250495,-0.15787478582503117,-0.15787478582503117,1.831931579383855e-14,0.0,0.0,-0.15787478582503728,6.1064385979461834e-15,0.15787478582503728,0.15787478582503728,0.1578747858250495,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,32,17,18,19,2.5e-05,3.6000000000000003e-06,0.0,3.6750000000000004e-06,2.5e-05,3.6750000000000004e-06,1.6666666666666667e-05,3.6500000000000006e-06,0.16666666666666669,36.50000000000001,-0.1605957364696928,-0.1605957364696928,-0.15788775469370855,-0.0016149744436785437,-0.0016149744436785435,-0.004322956219662795,-0.15969307587769807,-0.002517635035673294,0.15971292048376387,0.15971821256120342,0.16060385647516923,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,33,17,19,74,2.5e-05,3.6000000000000003e-06,2.5e-05,3.6750000000000004e-06,5e-05,3.6000000000000003e-06,3.3333333333333335e-05,3.625e-06,0.33333333333333337,36.25,-0.09559186927012342,-0.09431936595736207,-0.09431936595736207,-0.00034247113091719175,-0.0016149744436785437,-0.0016149744436785435,-0.09474353372828252,-0.001190806672758093,0.09475101690142483,0.09475295495970515,0.09559248274331972,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,34,17,73,74,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,5e-05,3.6000000000000003e-06,4.1666666666666665e-05,3.575e-06,0.41666666666666663,35.75,-0.09431936595736207,-0.09431936595736207,-0.09335881266812722,1.7003654820413483e-06,1.7003654820413483e-06,-0.0009588529237528013,-0.09399918152761712,-0.0003184840642629062,0.09399972106320903,0.09400082283028251,0.09431936597268895,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p2_bulk_nga_5e17_common_primary,NGA 5e17 common-primary state,top_primary,interface_4x,T03_P2_BULK_TRAPS_FORMAL,0.0,0.3,0.01,channel,35,18,19,20,0.0,3.6750000000000004e-06,2.5e-05,3.6750000000000004e-06,0.0,3.7500000000000005e-06,8.333333333333334e-06,3.7000000000000006e-06,0.08333333333333334,37.00000000000001,-0.1605957364697009,-0.1605957364696928,-0.1605957364696928,8.080423280665945e-15,0.0,0.0,-0.1605957364696955,2.6934744268886485e-15,0.1605957364696955,0.1605957364696955,0.1605957364697009,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
