primary_gate_v,nta_zero_abs_drain_current_a_per_cm,nga_zero_abs_drain_current_a_per_cm,current_relative_difference,nta_zero_center_channel_potential_v,nga_zero_center_channel_potential_v,center_channel_potential_difference_v,nta_zero_center_channel_electron_density_cm3,nga_zero_center_channel_electron_density_cm3,center_density_relative_difference
1.35,4.430714017229105e-05,4.430714017229105e-05,0.0,0.0783573143837904,0.0783573143837904,0.0,1.7045727044447616e+17,1.7045727044447616e+17,0.0
1.4,4.534705104661522e-05,4.534705104661522e-05,0.0,0.07861552762399451,0.07861552762399451,0.0,1.7215019660959488e+17,1.7215019660959488e+17,0.0
1.45,4.6353190692416645e-05,4.6353190692416645e-05,0.0,0.07885614455978512,0.07885614455978512,0.0,1.737421193211484e+17,1.737421193211484e+17,0.0
1.5,4.7327077491801356e-05,4.7327077491801356e-05,0.0,0.07908088779483693,0.07908088779483693,0.0,1.7524158671812736e+17,1.7524158671812736e+17,0.0
1.55,4.827015183268946e-05,4.827015183268946e-05,0.0,0.07929126517814383,0.07929126517814383,0.0,1.766562395208619e+17,1.766562395208619e+17,0.0
1.6,4.91837793661996e-05,4.91837793661996e-05,0.0,0.07948860193196339,0.07948860193196339,0.0,1.7799292466347757e+17,1.7799292466347757e+17,0.0
1.65,5.006925443680929e-05,5.006925443680929e-05,0.0,0.07967406722282716,0.07967406722282716,0.0,1.792577928201062e+17,1.792577928201062e+17,0.0
1.7,5.092780357955248e-05,5.092780357955248e-05,0.0,0.07984869625835772,0.07984869625835772,0.0,1.8045638232274672e+17,1.8045638232274672e+17,0.0
1.75,5.176058900892879e-05,5.176058900892879e-05,0.0,0.08001340875946472,0.08001340875946472,0.0,1.8159369155875072e+17,1.8159369155875072e+17,0.0
1.8,5.256871204663093e-05,5.256871204663093e-05,0.0,0.08016902447902632,0.08016902447902632,0.0,1.826742415941964e+17,1.826742415941964e+17,0.0
