mesh_role,mesh_level,stage_id,vgs_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
production,interface_4x,T01_DC_EXTRACTION,0.525,0.01,-2.2808823092093593e-05,2.2808823092092458e-05,-1.3685293855256157e-07,1.3685293855255474e-07,-1.1350241493207625e-18,4.9762503954629957e-14,0.07185864145672768,1.3279438810255326e+17,0.021552019999944605,True
production,interface_4x,T01_DC_EXTRACTION,0.55,0.01,-2.374592084498753e-05,2.3745920844987868e-05,-1.4247552506992517e-07,1.424755250699272e-07,3.3881317890172014e-19,1.42682686897457e-14,0.07253655756393429,1.3631102005972277e+17,0.019274475998827256,True
production,interface_4x,T01_DC_EXTRACTION,0.575,0.01,-2.4666491936367785e-05,2.4666491936367426e-05,-1.4799895161820671e-07,1.4799895161820457e-07,-3.5914196963582334e-19,1.455991271731314e-14,0.07316382278923408,1.3964737024137232e+17,0.019211388000258012,True
production,interface_4x,T01_DC_EXTRACTION,0.6,0.01,-2.557066788670105e-05,2.557066788670198e-05,-1.534240073202063e-07,1.5342400732021187e-07,9.283481101907132e-19,3.630519602788711e-14,0.07374569626186998,1.4281481949529317e+17,0.01904434400057653,True
production,interface_4x,T01_DC_EXTRACTION,0.7,0.01,-2.9027259741928844e-05,2.902725974192924e-05,-1.7416355845157307e-07,1.7416355845157545e-07,3.9641141931501256e-19,1.3656522277313175e-14,0.07570260185647976,1.539996596740896e+17,0.02461029799815151,True
production,interface_4x,T01_DC_EXTRACTION,0.8,0.01,-3.22394452568662e-05,3.223944525686692e-05,-1.934366715411972e-07,1.9343667154120152e-07,7.182839392716467e-19,2.2279661872241864e-14,0.07721316953278672,1.6322246637631798e+17,0.024025329999858513,True
production,interface_4x,T01_DC_EXTRACTION,0.9,0.01,-3.522508862350046e-05,3.522508862349955e-05,-2.1135053174100278e-07,2.1135053174099733e-07,-9.0801931945661e-19,2.5777630516756847e-14,0.0784111471086392,1.7092170674729043e+17,0.01946696099912515,True
production,interface_4x,T01_DC_EXTRACTION,1.0,0.01,-3.800270837723875e-05,3.8002708377239875e-05,-2.2801625026343252e-07,2.2801625026343927e-07,1.1248597539537109e-18,2.959946282742833e-14,0.07938253506837781,1.7742484231065875e+17,0.020119777000218164,True
reference,interface_8x,T01_DC_EXTRACTION,-1.0,0.01,-1.4396473314760647e-22,1.4396473314773006e-22,-8.637883988856387e-25,8.637883988863804e-25,1.235914760454553e-34,8.584843894971928e-13,-0.9769319048287611,0.1937336546686635,0.07333165999807534,True
reference,interface_8x,T01_DC_EXTRACTION,-0.75,0.01,-7.286438476107588e-19,7.286438476105342e-19,-4.3718630856645524e-21,4.371863085663206e-21,-2.245634315155517e-31,3.081936837206555e-13,-0.7269319048287728,5154.242925609602,0.08033621199865593,True
