parameter_group_id,changed_parameter,temperature_k,thermal_voltage_v,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,24,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.7,0.0,0.0,0.7,0.01,-2.7685437703287094e-05,2.768543770328766e-05,-1.6611262621972256e-07,1.6611262621972595e-07,5.658180087658726e-19,2.043738715023752e-14,0.059036337136373455,1.2280811389086485e+17,0.03368397099984577,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,25,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.75,0.0,0.0,0.75,0.01,-2.929722167180282e-05,2.9297221671801037e-05,-1.7578333003081692e-07,1.7578333003080623e-07,-1.782157321023048e-18,6.083025008266532e-14,0.05965047851169042,1.2632928306783085e+17,0.03376971800025785,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,26,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.8,0.0,0.0,0.8,0.01,-3.084638308249005e-05,3.084638308249049e-05,-1.8507829849494028e-07,1.8507829849494293e-07,4.404571325722362e-19,1.427905279508298e-14,0.060191933278164085,1.2951552864757734e+17,0.034601497995026875,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,27,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.85,0.0,0.0,0.85,0.01,-3.233555919831496e-05,3.2335559198316085e-05,-1.9401335518988977e-07,1.9401335518989652e-07,1.1248597539537109e-18,3.478708214244488e-14,0.060672627367066856,1.3240972375978445e+17,0.0332802039993112,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,28,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.9,0.0,0.0,0.9,0.01,-3.376743006386105e-05,3.376743006385992e-05,-2.0260458038316633e-07,2.0260458038315953e-07,-1.1316360175317453e-18,3.351264859041959e-14,0.06110205780328889,1.3504820512863654e+17,0.032173955005418975,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,29,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,0.95,0.0,0.0,0.95,0.01,-3.514465679915647e-05,3.514465679915615e-05,-2.1086794079493883e-07,2.1086794079493687e-07,-3.2526065174565133e-19,9.254910457781398e-15,0.06148787274898827,1.3746186724969862e+17,0.03362478799681412,True
P5,lattice_temperature_k,250.0,0.021543333155,top_primary,top_gate,bottom_gate,forward,30,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,1.0,0.0,0.0,1.0,0.01,-3.646984149128711e-05,3.6469841491285194e-05,-2.1881904894772268e-07,2.1881904894771116e-07,-1.917682592583736e-18,5.258269611733528e-14,0.06183629481209764,1.3967707357988066e+17,0.032560110004851595,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,0,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.5,0.0,0.0,-0.5,0.01,-2.1009005017869447e-10,2.100900501789906e-10,-1.2605403010721668e-12,1.2605403010739435e-12,2.961306592939839e-22,1.4095415705869421e-12,-0.23911894665357208,807306959954.4667,0.04197264200047357,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,1,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.45,0.0,0.0,-0.45,0.01,-4.949974025749092e-10,4.949974025786057e-10,-2.969984415449455e-12,2.9699844154716346e-12,3.6965667599229116e-21,7.46785082238062e-12,-0.21412109486385084,2123150613684.0562,0.037631503997545224,True
P5,lattice_temperature_k,300.0,0.025851999786,top_primary,top_gate,bottom_gate,forward,2,interface_4x,T03_P5_TEMPERATURE,enabled_symmetric_teaching_top_stack,-0.4,0.0,0.0,-0.4,0.01,-1.175346534127531e-09,1.1753465341285547e-09,-7.052079204765187e-12,7.052079204771329e-12,1.0236360080343717e-21,8.709227264564431e-13,-0.1891262528706111,5583036541237.598,0.039338654998573475,True
