case_id,vin_fraction,vin_v,ngspice_vout_v,xyce_vout_v,absolute_vout_difference_v,ngspice_supply_current_a,xyce_supply_current_a,absolute_supply_current_difference_a
v100_t050_r0125,0.8,0.08000000000000002,0.008727690158409757,0.008728061109637496,3.709512277384752e-07,2.427793102056447e-08,2.4277765680077908e-08,1.653404865616299e-13
v100_t050_r0125,0.81,0.08100000000000002,0.008669766432954668,0.008670131589547747,3.651565930792161e-07,2.430500939493743e-08,2.43048464623854e-08,1.6293255202936227e-13
v100_t050_r0125,0.8200000000000001,0.08200000000000002,0.008612570810214888,0.008612930272383242,3.5946216835405775e-07,2.433176273612094e-08,2.4331602174642803e-08,1.605614781375715e-13
v100_t050_r0125,0.8300000000000001,0.08300000000000002,0.008556091911085358,0.008556445777252517,3.538661671586424e-07,2.435819578796878e-08,2.4358037561210418e-08,1.5822675836055514e-13
v100_t050_r0125,0.84,0.084,0.008500318553899778,0.008500666920731441,3.4836683166297733e-07,2.438431322116438e-08,2.4384157293275674e-08,1.559278887070921e-13
v100_t050_r0125,0.85,0.085,0.008445239750880138,0.008445582713312968,3.4296243283001016e-07,2.441011963425039e-08,2.44099659698823e-08,1.5366436808771093e-13
v100_t050_r0125,0.86,0.08600000000000001,0.008390844704644842,0.008391182355914548,3.376512697061268e-07,2.443561955465178e-08,2.4435468118953526e-08,1.5143569825513273e-13
v100_t050_r0125,0.87,0.08700000000000001,0.008337122804775136,0.008337455236444821,3.324316696848295e-07,2.446081743969232e-08,2.4460668198307942e-08,1.4924138437668018e-13
v100_t050_r0125,0.88,0.08800000000000001,0.008284063624438936,0.008284390926426782,3.273019878458072e-07,2.448571767760336e-08,2.4485570596668213e-08,1.470809351467741e-13
v100_t050_r0125,0.89,0.08900000000000001,0.008231656917071926,0.008231979177679089,3.2226060716310234e-07,2.451032458852508e-08,2.451017963466221e-08,1.449538628696515e-13
v100_t050_r0125,0.9,0.09000000000000001,0.008179892613115225,0.008180209919052956,3.173059377314241e-07,2.453464242549955e-08,2.4534499565815706e-08,1.4285968384317737e-13
v100_t050_r0125,0.91,0.09100000000000001,0.008128760816808944,0.008129073253225764,3.1243641681992507e-07,2.45586753754552e-08,2.4558534577536937e-08,1.4079791826289177e-13
v100_t050_r0125,0.92,0.09200000000000001,0.008078251803040946,0.008078559453549487,3.0765050854086873e-07,2.458242756018277e-08,2.4582288792092098e-08,1.3876809067199605e-13
v100_t050_r0125,0.93,0.09300000000000001,0.008028356014250618,0.008028658960954132,3.029467035130934e-07,2.460590303730207e-08,2.4605766267572146e-08,1.367697299249569e-13
v100_t050_r0125,0.9400000000000001,0.09400000000000001,0.007979064057386421,0.007979362380904811,2.9832351839016724e-07,2.462910580121935e-08,2.4628970998850106e-08,1.3480236924375467e-13
v100_t050_r0125,0.9500000000000001,0.09500000000000001,0.007930366700917003,0.007930660480412775,2.9377949577191753e-07,2.465203978407535e-08,2.4651906918528845e-08,1.3286554650574218e-13
v100_t050_r0125,0.96,0.096,0.007882254871895044,0.007882544185098844,2.8931320380023995e-07,2.467470885668346e-08,2.4674577897879202e-08,1.3095880425687963e-13
v100_t050_r0125,0.97,0.097,0.007834719653072902,0.00783500457630882,2.849232359179721e-07,2.46971168294581e-08,2.469698774776833e-08,1.2908168976798288e-13
v100_t050_r0125,0.98,0.098,0.007787752280069936,0.0077880328882802925,2.8060821035628264e-07,2.471926745333288e-08,2.471914021957765e-08,1.2723375522993808e-13
v100_t050_r0125,0.99,0.099,0.007741344138590338,0.007741620505360208,2.763667698701261e-07,2.474116442066878e-08,2.4741039006111113e-08,1.2541455766767486e-13
v100_t050_r0125,1.0,0.1,0.007695486761690863,0.007695758959272343,2.721975814797689e-07,2.4762811366151687e-08,2.4762687742492562e-08,1.2362365912545482e-13
v100_t050_r0250,0.0,0.0,0.03033227155394023,0.030332271553945744,5.512951206654293e-15,3.054919753531495e-08,3.0549197535313306e-08,1.641126335305207e-21
v100_t050_r0250,0.01,0.001,0.03004846600323478,0.030050110206604145,1.6442033693650493e-06,3.075698484744876e-08,3.075615306403791e-08,8.31783410850258e-13
v100_t050_r0250,0.02,0.002,0.02976961214875329,0.029771228195166706,1.616046413417671e-06,3.096226282838559e-08,3.096143462594021e-08,8.282024453801186e-13
v100_t050_r0250,0.03,0.003,0.02949400185980141,0.029495610754249533,1.6088944481233713e-06,3.116586308968014e-08,3.116502772241458e-08,8.35367265556398e-13
v100_t050_r0250,0.04,0.004,0.02922164102563531,0.029223241871599866,1.6008459645562578e-06,3.136776093035682e-08,3.1366919221071876e-08,8.417092849422061e-13
v100_t050_r0250,0.05,0.005000000000000001,0.02895251210705348,0.028954104321825883,1.5922147724029e-06,3.15679447268506e-08,3.1567097330650205e-08,8.473962003976073e-13
v100_t050_r0250,0.06,0.006,0.02868659670129403,0.028688179729173625,1.5830278795939123e-06,3.176640400938987e-08,3.176555156582739e-08,8.524435624747488e-13
v100_t050_r0250,0.07,0.007000000000000001,0.02842387531390194,0.028425448629421347,1.5733155194069814e-06,3.196312958047222e-08,3.196227271118418e-08,8.568692880380472e-13
v100_t050_r0250,0.08,0.008,0.02816432742340523,0.028165890530772213,1.5631073669829243e-06,3.215811347605409e-08,3.215725278446889e-08,8.606915851989045e-13
v100_t050_r0250,0.09,0.009,0.02790793154110145,0.0279094839736389,1.5524325374521863e-06,3.235134892821771e-08,3.2350484999308035e-08,8.639289096736581e-13
v100_t050_r0250,0.1,0.010000000000000002,0.0276546652696824,0.027656206589222288,1.5413195398883417e-06,3.254283032739862e-08,3.254196372749976e-08,8.665998988539779e-13
v100_t050_r0250,0.11,0.011000000000000001,0.02740450536056292,0.027406035156801355,1.5297962384364094e-06,3.273255318432894e-08,3.273168446101941e-08,8.687233095300923e-13
v100_t050_r0250,0.12,0.012,0.02715742776984077,0.02715894565965858,1.5178898178126732e-06,3.292051409181778e-08,3.2919643773857673e-08,8.703179601072588e-13
v100_t050_r0250,0.13,0.013000000000000001,0.02691340771282375,0.02691491333957776,1.505626754008671e-06,3.310671068648203e-08,3.310583928380594e-08,8.714026760846362e-13
v100_t050_r0250,0.14,0.014000000000000002,0.02667241971706985,0.026673912749859335,1.4930327894846496e-06,3.329114161053329e-08,3.329026961429356e-08,8.719962397296154e-13
v100_t050_r0250,0.15,0.015,0.02643443767389612,0.026435917806808908,1.4801329127865637e-06,3.347380647371901e-08,3.3472934356375954e-08,8.721173430542567e-13
