capacitance_ratio,top_relative_permittivity,bottom_relative_permittivity,fixed_relative_permittivity_sum,top_coupling_fraction,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,23,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.65,0.0,0.0,0.65,0.01,-1.8049678946265023e-05,1.8049678946265494e-05,-1.0829807367759014e-07,1.0829807367759296e-07,4.70950318673391e-19,2.6091894491609854e-14,0.06450013610872302,1.000191832690971e+17,0.03361731099903409,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,24,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.7,0.0,0.0,0.7,0.01,-1.9393133290436484e-05,1.9393133290436643e-05,-1.1635879974261891e-07,1.1635879974261986e-07,1.5924219408380846e-19,8.211266931390387e-15,0.06575408784891772,1.0496822871028706e+17,0.030923726999390055,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,25,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.75,0.0,0.0,0.75,0.01,-2.0705804481999706e-05,2.07058044819998e-05,-1.2423482689199825e-07,1.242348268919988e-07,9.486769009248164e-20,4.5816954455912626e-15,0.06686737160103223,1.095666461474229e+17,0.03236401700087299,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,26,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.8,0.0,0.0,0.8,0.01,-2.1987102601125802e-05,2.1987102601125463e-05,-1.319226156067548e-07,1.3192261560675277e-07,-3.3881317890172014e-19,1.5409632867423466e-14,0.06786169994877342,1.1384339017107427e+17,0.033193774999745074,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,27,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.85,0.0,0.0,0.85,0.01,-2.3236859917990783e-05,2.3236859917991624e-05,-1.394211595079447e-07,1.3942115950794973e-07,8.402566836762659e-19,3.6160509063691504e-14,0.06875464639110482,1.1782572283263187e+17,0.03189117699912458,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,28,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.9,0.0,0.0,0.9,0.01,-2.4455215155708556e-05,2.4455215155710074e-05,-1.4673129093425133e-07,1.4673129093426044e-07,1.5178830414797062e-18,6.206786698931554e-14,0.06956056431566307,1.2153890960674067e+17,0.03290862499852665,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,29,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.95,0.0,0.0,0.95,0.01,-2.5642528536288787e-05,2.5642528536289367e-05,-1.5385517121773274e-07,1.538551712177362e-07,5.793705359219414e-19,2.2594126593327755e-14,0.07029127708304886,1.2500612716441546e+17,0.03171928200026741,True
0.5,4.533333333333333,9.066666666666666,13.6,0.3333333333333333,top_primary,top_gate,bottom_gate,forward,30,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,1.0,0.0,0.0,1.0,0.01,-2.6799318975688184e-05,2.679931897568845e-05,-1.607959138541291e-07,1.6079591385413072e-07,2.676624113323589e-19,9.987657207825853e-15,0.0709566014913532,1.2824849537428853e+17,0.030576942999687162,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,0,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.5,0.0,0.0,-0.5,0.01,-6.10615803772338e-10,6.106158037583042e-10,-3.663694822634028e-12,3.663694822549825e-12,-1.403373947742153e-20,2.2982928693823767e-11,-0.2108795740358744,2406770618256.4536,0.04109331600011501,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,1,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.45,0.0,0.0,-0.45,0.01,-1.2940903626237408e-09,1.2940903626238276e-09,-7.764542175742445e-12,7.764542175742967e-12,8.68539643180679e-23,6.711584200501077e-14,-0.18870472983079473,5674802574497.281,0.039635963999899104,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,2,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.4,0.0,0.0,-0.4,0.01,-2.7633180664909747e-09,2.7633180664947665e-09,-1.657990839894585e-11,1.65799083989686e-11,3.791795927943079e-21,1.3721894608943527e-12,-0.1665358486492479,13377152544281.34,0.04018146299858927,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,3,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.35,0.0,0.0,-0.35,0.01,-5.94813337734314e-09,5.948133377355587e-09,-3.568880026405884e-11,3.5688800264133523e-11,1.2446586677085407e-20,2.092519768381336e-12,-0.1443800781165477,31517423175935.074,0.04037305600104446,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,4,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.3,0.0,0.0,-0.3,0.01,-1.2908672286547937e-08,1.2908672286552903e-08,-7.745203371928762e-11,7.745203371931742e-11,4.966392397768378e-21,3.8473301417233437e-13,-0.12225337010611156,74171703072823.67,0.03841181799907645,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,5,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.25,0.0,0.0,-0.25,0.01,-2.8226428843011048e-08,2.8226428843016755e-08,-1.693585730580663e-10,1.6935857305810054e-10,5.707546226615891e-21,2.0220575044610872e-13,-0.10019147514351245,174106083502837.34,0.04053103800106328,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,6,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.2,0.0,0.0,-0.2,0.01,-6.203825118869299e-08,6.203825118869125e-08,-3.7222950713215795e-10,3.722295071321475e-10,-1.733770563911146e-21,2.794679944535801e-14,-0.07827418009112527,406361711959817.75,0.03936622199944395,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,7,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.15,0.0,0.0,-0.15,0.01,-1.3621700740121945e-07,1.3621700740121791e-07,-8.173020444073167e-10,8.173020444073075e-10,-1.5352472168984194e-21,1.1270598629262467e-14,-0.056675451385536764,936619881556259.6,0.04244832000040333,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,8,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.1,0.0,0.0,-0.1,0.01,-2.9486964564086674e-07,2.9486964564086595e-07,-1.7692178738452004e-09,1.7692178738451956e-09,-7.940933880509066e-22,2.693031988168982e-15,-0.0357510610989601,2102351890773781.2,0.04006823599956988,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,9,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,-0.05,0.0,0.0,-0.05,0.01,-6.144539454732858e-07,6.14453945473282e-07,-3.686723672839715e-09,3.6867236728396923e-09,-3.8116482626443515e-21,6.203309931891499e-15,-0.016131501564041927,4483836790584300.5,0.03997842699936882,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,10,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.0,0.0,0.0,0.0,0.01,-1.1932675718505793e-06,1.1932675718505855e-06,-7.159605431103476e-09,7.159605431103513e-09,6.1409888675936775e-21,5.146363659300564e-15,0.001336443947491322,8793389433016714.0,0.03749232900008792,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,11,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.05,0.0,0.0,0.05,0.01,-2.1018674482078414e-06,2.1018674482078295e-06,-1.2611204689247048e-08,1.2611204689246977e-08,-1.1858461261560205e-20,5.6418692204740735e-15,0.015960919699153767,1.5443898510483446e+16,0.037935115999061964,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,12,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.1,0.0,0.0,0.1,0.01,-3.3352141104376886e-06,3.3352141104376886e-06,-2.0011284662626133e-08,2.0011284662626133e-08,0.0,0.0,0.02760403895846286,2.417423864549719e+16,0.03628149299947836,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,13,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.15,0.0,0.0,0.15,0.01,-4.825489965539617e-06,4.825489965539606e-06,-2.8952939793237704e-08,2.8952939793237638e-08,-1.1011428314305904e-20,2.2819295849627855e-15,0.03664028416283608,3.4225408665592364e+16,0.038399573999413406,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,14,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.2,0.0,0.0,0.2,0.01,-6.488496461487621e-06,6.488496461487656e-06,-3.893097876892573e-08,3.8930978768925934e-08,3.4728350837426314e-20,5.352295565475879e-15,0.043629970937730134,4.4787762246866e+16,0.03732976100036467,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,15,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.25,0.0,0.0,0.25,0.01,-8.252789603132575e-06,8.252789603132497e-06,-4.951673761879545e-08,4.951673761879498e-08,-7.792703114739563e-20,9.442507914877204e-15,0.04908784158592888,5.52574620898635e+16,0.03852949400061334,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,16,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.3,0.0,0.0,0.3,0.01,-1.0066291634131944e-05,1.0066291634131918e-05,-6.039774980479166e-08,6.03977498047915e-08,-2.541098841762901e-20,2.5243644175246766e-15,0.053412939413321606,6.526854625154532e+16,0.03688747300111572,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,17,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.35,0.0,0.0,0.35,0.01,-1.1893384664516465e-05,1.189338466451639e-05,-7.136030798709879e-08,7.136030798709834e-08,-7.453889935837843e-20,6.267257089629235e-15,0.05689580497519809,7.46356221389621e+16,0.04269298300096125,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,18,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.4,0.0,0.0,0.4,0.01,-1.3710375259755593e-05,1.3710375259755686e-05,-8.226225155853356e-08,8.226225155853412e-08,9.317362419797304e-20,6.795847847539759e-15,0.05974435101616856,8.328891486031904e+16,0.04041558200151485,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,19,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.45,0.0,0.0,0.45,0.01,-1.550175262014875e-05,1.550175262014882e-05,-9.30105157208925e-08,9.301051572089292e-08,7.115076756936123e-20,4.589853116149016e-15,0.06210774594250923,9.122570091902275e+16,0.03988304500126105,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,20,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.5,0.0,0.0,0.5,0.01,-1.725753509612423e-05,1.7257535096124678e-05,-1.0354521057674538e-07,1.0354521057674807e-07,4.472333961502706e-19,2.59152534622804e-14,0.06409420263863351,9.847892712723053e+16,0.032073271000626846,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,21,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.55,0.0,0.0,0.55,0.01,-1.8971476350228988e-05,1.8971476350229303e-05,-1.1382885810137393e-07,1.1382885810137582e-07,3.1509625637859973e-19,1.660894758856188e-14,0.06578335736867134,1.0509835559295502e+17,0.0305467439993663,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,22,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.6,0.0,0.0,0.6,0.01,-2.0639866201194847e-05,2.063986620119425e-05,-1.238391972071691e-07,1.2383919720716552e-07,-5.963111948670274e-19,2.889123355036608e-14,0.0672347146508562,1.1113977026706365e+17,0.03265032399940537,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,23,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.65,0.0,0.0,0.65,0.01,-2.22607262206389e-05,2.226072622063847e-05,-1.335643573238334e-07,1.3356435732383082e-07,-4.3029273720518457e-19,1.9329681023894056e-14,0.06849340725489833,1.166590788995802e+17,0.03138422099982563,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,24,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.7,0.0,0.0,0.7,0.01,-2.3833265107161416e-05,2.3833265107161403e-05,-1.4299959064296851e-07,1.429995906429684e-07,-1.3552527156068805e-20,5.68639130859017e-16,0.06959415838127454,1.2170929001840584e+17,0.033153553998999996,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,25,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.75,0.0,0.0,0.75,0.01,-2.535750583694163e-05,2.5357505836941786e-05,-1.5214503502164978e-07,1.5214503502165073e-07,1.5585406229479126e-19,6.1462694042935834e-15,0.0705640408134733,1.2633913621993374e+17,0.03109125400078483,True
0.75,5.828571428571428,7.771428571428571,13.6,0.42857142857142855,top_primary,top_gate,bottom_gate,forward,26,interface_4x,T03_P1_CAPACITANCE_RATIO,enabled_symmetric_teaching_top_stack,0.8,0.0,0.0,0.8,0.01,-2.683402759542452e-05,2.6834027595423353e-05,-1.6100416557254712e-07,1.6100416557254013e-07,-1.1655173354219173e-18,4.343430486822075e-14,0.07142442489134249,1.3059261520716773e+17,0.031062910000400734,True
