family_id,primary_gate_v,fixed_secondary_gate_v,forward_abs_drain_current_a_per_cm,reverse_abs_drain_current_a_per_cm,relative_current_difference,forward_center_channel_potential_v,reverse_center_channel_potential_v,center_channel_potential_difference_v,forward_center_channel_electron_density_cm3,reverse_center_channel_electron_density_cm3,center_density_relative_difference
bottom_primary,-0.25,0.0,1.6561208985020215e-08,1.6561208985025482e-08,3.180616913596405e-13,-0.11424457985285208,-0.11424457985285208,0.0,101103933681695.28,101103933681695.3,1.5454393742178284e-16
bottom_primary,-0.2,0.0,4.06137283327057e-08,4.061372833269889e-08,1.67661307692676e-13,-0.08943120788227929,-0.08943120788227929,0.0,263962379689174.1,263962379689174.03,2.3677616512472786e-16
bottom_primary,-0.15,0.0,9.968379386298005e-08,9.968379386297442e-08,5.642670636204088e-14,-0.06489271154649566,-0.06489271154649566,0.0,681727707940020.1,681727707940020.1,0.0
bottom_primary,-0.1,0.0,2.4142008492075545e-07,2.414200849207498e-07,2.346338680405352e-14,-0.04100932784576479,-0.04100932784576478,6.938893903907228e-18,1715891505045579.2,1715891505045579.0,1.4569685744400212e-16
bottom_primary,-0.05,0.0,5.603609473994711e-07,5.603609473994779e-07,1.2092676353485509e-14,-0.018549627861549674,-0.018549627861549674,0.0,4084411462863898.0,4084411462863898.0,0.0
bottom_primary,0.0,0.0,1.193096693623978e-06,1.1930966936239774e-06,5.324586966301169e-16,0.001332691319669748,0.0013326913196697473,6.505213034913027e-19,8792236312879518.0,8792236312879518.0,0.0
bottom_primary,0.05,0.0,2.2435594877850654e-06,2.2435594877850624e-06,1.3213892172374899e-15,0.01764856176020697,0.017648561760206974,3.469446951953614e-18,1.648104991801163e+16,1.6481049918011628e+16,1.2135149216520858e-16
bottom_primary,0.1,0.0,3.700428574078729e-06,3.700428574078743e-06,3.7768716109256146e-15,0.030249531738275284,0.03024953173827528,3.469446951953614e-18,2.6766155869164244e+16,2.6766155869164244e+16,0.0
bottom_primary,0.15,0.0,5.462041732526005e-06,5.4620417325260114e-06,1.240609997115604e-15,0.0397253633148656,0.0397253633148656,0.0,3.854225028782631e+16,3.854225028782631e+16,0.0
bottom_primary,0.2,0.0,7.412956638914874e-06,7.412956638914869e-06,6.855830852761801e-16,0.04685755866596012,0.04685755866596012,0.0,5.071597384095384e+16,5.071597384095382e+16,3.1548245628046645e-16
bottom_primary,0.25,0.0,9.46269391169939e-06,9.462693911699397e-06,7.161030084315027e-16,0.05230462800762921,0.05230462800762921,0.0,6.2547486235360264e+16,6.254748623536027e+16,1.2790282202384213e-16
bottom_primary,0.3,0.0,1.1549445541373112e-05,1.1549445541373114e-05,1.4667941317529198e-16,0.05654488300708315,0.05654488300708316,6.938893903907228e-18,7.364012706240107e+16,7.364012706240107e+16,0.0
bottom_primary,0.35,0.0,1.363315508592786e-05,1.3633155085927856e-05,3.727822100968869e-16,0.05991023918327384,0.059910239183273845,6.938893903907228e-18,8.38296786640453e+16,8.38296786640453e+16,0.0
bottom_primary,0.4,0.0,1.5688469780507114e-05,1.568846978050709e-05,1.5117422447783038e-15,0.06262985128503151,0.06262985128503151,0.0,9.308615506074043e+16,9.308615506074045e+16,1.7188377787824303e-16
