mesh_level,stage_id,vgs_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
interface_4x,T01_A_STAGE_2,0.5,0.01,-2.1855115458542497e-05,2.1855115458542737e-05,-1.31130692751255e-07,1.3113069275125642e-07,2.405573570202213e-19,1.1006913117276263e-14,0.07112400196252015,1.2908543012205066e+17,0.02463304400225752,True
interface_4x,T01_A_STAGE_2,0.75,0.01,-3.0662823979951794e-05,3.066282397995231e-05,-1.8397694387971078e-07,1.8397694387971385e-07,5.149960319306146e-19,1.6795453421619765e-14,0.0765038854301148,1.5882592518031066e+17,0.021738945000834065,True
interface_4x,T01_A_STAGE_2,1.0,0.01,-3.8002708377242565e-05,3.8002708377239353e-05,-2.2801625026345539e-07,2.2801625026343612e-07,-3.211948935988307e-18,8.451894807349418e-14,0.07938253506837786,1.7742484231065875e+17,0.022995982002612436,True
interface_8x,T01_A_STAGE_2,0.0,0.01,-1.2325129239684266e-06,1.2325129239684306e-06,-7.395077543810559e-09,7.395077543810584e-09,4.0234064994579266e-21,3.264392949733468e-15,0.002192328225044263,9060533222238286.0,0.030066439001529943,True
interface_8x,T01_A_STAGE_2,0.1,0.01,-4.843992659105474e-06,4.843992659105433e-06,-2.9063955954632843e-08,2.9063955954632598e-08,-4.0657581468206416e-20,8.393402783503502e-15,0.03760978991547348,3.5441921558876396e+16,0.046554853000998264,True
interface_8x,T01_A_STAGE_2,0.2,0.01,-9.231968722219081e-06,9.231968722219125e-06,-5.539181233331449e-08,5.5391812333314754e-08,4.404571325722362e-20,4.7709989691815345e-15,0.05335292273143469,6.5034969770881256e+16,0.04122460399958072,True
interface_8x,T01_A_STAGE_2,0.3,0.01,-1.3643965428454548e-05,1.3643965428454751e-05,-8.186379257072729e-08,8.186379257072851e-08,2.0328790734103208e-19,1.489947394011064e-14,0.06203956570519234,9.092546835838566e+16,0.04029672899923753,True
interface_8x,T01_A_STAGE_2,0.5,0.01,-2.1851534169256203e-05,2.1851534169256206e-05,-1.3110920501553722e-07,1.3110920501553725e-07,3.3881317890172014e-21,1.5505235297318845e-16,0.07113603866599988,1.2914559316592475e+17,0.04757796600097208,True
interface_8x,T01_A_STAGE_2,0.75,0.01,-3.0657333954265284e-05,3.0657333954265786e-05,-1.8394400372559172e-07,1.8394400372559471e-07,5.014435047745458e-19,1.6356396336439193e-14,0.07652637240671581,1.5896429361083395e+17,0.03721205200054101,True
interface_8x,T01_A_STAGE_2,1.0,0.01,-3.7997287518225844e-05,3.799728751822518e-05,-2.2798372510935507e-07,2.2798372510935107e-07,-6.640738306473715e-19,1.7476874640823788e-14,0.07941518305215875,1.7764934595921645e+17,0.03951014300037059,True
