point_uid,case_id,curve_kind,curve_id,vtg_v,vbg_v,external_vds_v,r_pair_w_kohm_um,r_pair_ohm,circuit_coupled,circuit_closure_applicable,external_source_v,internal_source_v,internal_drain_v,external_drain_v,internal_device_vds_v,source_current_terminal_a,drain_current_terminal_a,external_source_current_terminal_a,external_drain_current_terminal_a,source_resistor_current_external_to_internal_a,drain_resistor_current_external_to_internal_a,source_kcl_residual_a,drain_kcl_residual_a,source_kcl_relative_residual,drain_kcl_relative_residual,source_drop_v,drain_drop_v,total_resistor_drop_v,circuit_ohms_law_residual_v,circuit_ohms_law_relative_residual,voltage_partition_residual_v,total_resistor_power_w
ideal_control:ideal_control_transfer:025,ideal_control,transfer,ideal_control_transfer,0.75,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.711886969431101e-07,1.7118869694311708e-07,-1.711886969431101e-07,1.7118869694311708e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:026,ideal_control,transfer,ideal_control_transfer,0.8,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.8074056921583695e-07,1.807405692158316e-07,-1.8074056921583695e-07,1.807405692158316e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:027,ideal_control,transfer,ideal_control_transfer,0.85,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.8994722262422904e-07,1.8994722262423944e-07,-1.8994722262422904e-07,1.8994722262423944e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:028,ideal_control,transfer,ideal_control_transfer,0.9,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-1.9882118101083826e-07,1.9882118101083059e-07,-1.9882118101083826e-07,1.9882118101083059e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:029,ideal_control,transfer,ideal_control_transfer,0.95,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-2.0737551276885664e-07,2.073755127688568e-07,-2.0737551276885664e-07,2.073755127688568e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal_control:ideal_control_transfer:030,ideal_control,transfer,ideal_control_transfer,1.0,0.0,0.01,0.0,0.0,False,False,0.0,0.0,0.01,0.01,0.01,-2.1562345999671772e-07,2.1562345999672124e-07,-2.1562345999671772e-07,2.1562345999672124e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:000,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.5,0.0,0.01,0.5,8.333333333333334,True,False,0.0,5.252251248883188e-12,0.009999999994747748,0.01,0.009999999989495497,-1.2605402997321241e-12,1.2605402997318612e-12,-1.260540299731965e-12,1.2605404220433768e-12,-1.260540299731965e-12,1.2605404220433768e-12,-1.5913533268842427e-25,-1.2231151565903484e-19,1.262437485911731e-13,9.70310142540006e-08,5.252251248883188e-12,5.2522517585140704e-12,1.0504503007397257e-11,-5.096308835476331e-19,4.851546603049872e-08,0.0,1.3241350011890194e-23
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:001,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.45,0.0,0.01,0.5,8.333333333333334,True,False,0.0,1.2374935033367709e-11,0.009999999987625066,0.01,0.009999999975250131,-2.9699844080081867e-12,2.9699844079874736e-12,-2.9699844080082497e-12,2.969984258527347e-12,-2.9699844080082497e-12,2.969984258527347e-12,6.300789822181265e-26,1.4946012660419898e-19,2.1214891920616992e-14,5.032353914122951e-08,1.2374935033367709e-11,1.2374934410530614e-11,2.474986944389832e-11,6.228370935034072e-19,2.516526783768379e-08,0.0,7.350672449880146e-23
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:002,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.4,0.0,0.01,0.5,8.333333333333334,True,False,0.0,2.938366317836857e-11,0.009999999970616336,0.01,0.009999999941232672,-7.052079162809383e-12,7.0520791627460486e-12,-7.052079162808456e-12,7.052079337155347e-12,-7.052079162808456e-12,7.052079337155347e-12,-9.265392212874246e-25,-1.7440929863181122e-19,1.313852553121813e-13,2.473161322971787e-08,2.938366317836857e-11,2.938366390481395e-11,5.876732708318252e-11,-7.264453814088865e-19,1.236138188488251e-08,0.0,4.1443184790021095e-22
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:003,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.35,0.0,0.01,0.5,8.333333333333334,True,False,0.0,7.035738102351118e-11,0.009999999929642619,0.01,0.009999999859285237,-1.6885771445643734e-11,1.6885771445667644e-11,-1.6885771445642683e-11,1.688577153102777e-11,-1.6885771445642683e-11,1.688577153102777e-11,-1.050131637030211e-24,-8.536012459941115e-20,6.219032635912696e-14,5.055150985701844e-09,7.035738102351118e-11,7.035738137928238e-11,1.4071476240279355e-10,-3.5577120863966976e-19,2.5283147387320975e-09,0.0,2.376077322968957e-21
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:004,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.3,0.0,0.01,0.5,8.333333333333334,True,False,0.0,1.699509123482451e-10,0.009999999830049087,0.01,0.009999999660098175,-4.078821896358062e-11,4.078821896350108e-11,-4.0788218963578826e-11,4.078821905229013e-11,-4.0788218963578826e-11,4.078821905229013e-11,-1.796532892888607e-24,-8.878904996355914e-20,4.404538708818624e-14,2.1768307620818745e-09,1.699509123482451e-10,1.6995091271787555e-10,3.399018250661207e-10,-3.696304130078426e-19,1.0874622768912163e-09,0.0,1.3863990081993564e-20
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:005,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.25,0.0,0.01,0.5,8.333333333333334,True,False,0.0,4.140301899223523e-10,0.00999999958596981,0.01,0.00999999917193962,-9.936724558136808e-11,9.936724558138239e-11,-9.936724558136454e-11,9.936724568171406e-11,-9.936724558136454e-11,9.936724568171406e-11,-3.54136699749265e-24,-1.0033167040279188e-19,3.5639178451341475e-14,1.0097056601947788e-09,4.140301899223523e-10,4.140301903404753e-10,8.280603802628275e-10,-4.181230492381513e-19,5.049427058619931e-10,0.0,8.228207920332223e-20
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:006,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.2,0.0,0.01,0.5,8.333333333333334,True,False,0.0,1.0153429996693452e-09,0.009999998984657001,0.01,0.009999997969314002,-2.436823199206422e-10,2.436823199206975e-10,-2.436823199206428e-10,2.436823197393689e-10,-2.436823199206428e-10,2.436823197393689e-10,6.203854594147708e-25,1.81328588523222e-19,2.5458780087812874e-15,7.441187714489606e-10,1.0153429996693452e-09,1.0153429989140372e-09,2.030685998583382e-09,7.553077163089077e-19,3.719470744545511e-10,0.0,4.948422749811106e-19
literature_low_magnitude_proxy:literature_low_magnitude_proxy_transfer:007,literature_low_magnitude_proxy,transfer,literature_low_magnitude_proxy_transfer,-0.15,0.0,0.01,0.5,8.333333333333334,True,False,0.0,2.492093590396495e-09,0.00999999750790641,0.01,0.00999999501581282,-5.981024616951553e-10,5.981024616951378e-10,-5.981024616951587e-10,5.981024617240926e-10,-5.981024616951587e-10,5.981024617240926e-10,3.412120026781239e-24,-2.895473355938275e-20,5.7049088497487755e-15,4.8410992116497424e-11,2.492093590396495e-09,2.4920935905170527e-09,4.984187180913547e-09,-1.2055826555715357e-19,2.41881496778258e-11,0.0,2.9810546225259522e-18
