route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,vin_fraction,vin_v,vout_v,supply_current_a,static_power_w,finite
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.8,0.08000000000000002,0.008727690158409757,2.427793102056447e-08,2.4277931020564472e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.81,0.08100000000000002,0.008669766432954668,2.430500939493743e-08,2.4305009394937434e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.8200000000000001,0.08200000000000002,0.008612570810214888,2.433176273612094e-08,2.433176273612094e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.8300000000000001,0.08300000000000002,0.008556091911085358,2.435819578796878e-08,2.435819578796878e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.84,0.084,0.008500318553899778,2.438431322116438e-08,2.4384313221164383e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.85,0.085,0.008445239750880138,2.441011963425039e-08,2.441011963425039e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.86,0.08600000000000001,0.008390844704644842,2.443561955465178e-08,2.443561955465178e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.87,0.08700000000000001,0.008337122804775136,2.446081743969232e-08,2.446081743969232e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.88,0.08800000000000001,0.008284063624438936,2.448571767760336e-08,2.4485717677603363e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.89,0.08900000000000001,0.008231656917071926,2.451032458852508e-08,2.451032458852508e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.9,0.09000000000000001,0.008179892613115225,2.453464242549955e-08,2.4534642425499552e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.91,0.09100000000000001,0.008128760816808944,2.45586753754552e-08,2.45586753754552e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.92,0.09200000000000001,0.008078251803040946,2.458242756018277e-08,2.458242756018277e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.93,0.09300000000000001,0.008028356014250618,2.460590303730207e-08,2.460590303730207e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.9400000000000001,0.09400000000000001,0.007979064057386421,2.462910580121935e-08,2.462910580121935e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.9500000000000001,0.09500000000000001,0.007930366700917003,2.465203978407535e-08,2.465203978407535e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.96,0.096,0.007882254871895044,2.467470885668346e-08,2.467470885668346e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.97,0.097,0.007834719653072902,2.46971168294581e-08,2.46971168294581e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.98,0.098,0.007787752280069936,2.471926745333288e-08,2.471926745333288e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,0.99,0.099,0.007741344138590338,2.474116442066878e-08,2.4741164420668783e-09,True
ngspice,v100_t050_r0125,0.1,0.05,0.5,0.125,1.0,0.1,0.007695486761690863,2.4762811366151687e-08,2.476281136615169e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.0,0.0,0.03033227155394023,3.054919753531495e-08,3.054919753531495e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.01,0.001,0.03004846600323478,3.075698484744876e-08,3.075698484744876e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.02,0.002,0.02976961214875329,3.096226282838559e-08,3.0962262828385593e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.03,0.003,0.02949400185980141,3.116586308968014e-08,3.116586308968014e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.04,0.004,0.02922164102563531,3.136776093035682e-08,3.136776093035682e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.05,0.005000000000000001,0.02895251210705348,3.15679447268506e-08,3.1567944726850606e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.06,0.006,0.02868659670129403,3.176640400938987e-08,3.176640400938987e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.07,0.007000000000000001,0.02842387531390194,3.196312958047222e-08,3.1963129580472223e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.08,0.008,0.02816432742340523,3.215811347605409e-08,3.2158113476054092e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.09,0.009,0.02790793154110145,3.235134892821771e-08,3.235134892821771e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.1,0.010000000000000002,0.0276546652696824,3.254283032739862e-08,3.2542830327398618e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.11,0.011000000000000001,0.02740450536056292,3.273255318432894e-08,3.273255318432894e-09,True
ngspice,v100_t050_r0250,0.1,0.05,0.5,0.25,0.12,0.012,0.02715742776984077,3.292051409181778e-08,3.292051409181778e-09,True
