row_index,row_uid,curve_id,split,kind,topology,selection_role,primary_axis_v,vds_v,ngspice_current_a_per_cm,xyce_current_a_per_cm,absolute_difference_a_per_cm,log_difference_dec
44,train_t01_single_idvg_l10:044,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.55,0.01,1.0208528919573316e-32,1.8145782437269831e-05,1.8145782437269831e-05,15.258775699506122
45,train_t01_single_idvg_l10:045,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.575,0.01,1.0208528919573316e-32,1.8727328819841749e-05,1.8727328819841749e-05,15.272475836022695
46,train_t01_single_idvg_l10:046,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.6,0.01,1.0208528919573316e-32,1.9301774358577786e-05,1.9301774358577786e-05,15.285597234329995
47,train_t01_single_idvg_l10:047,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.7,0.01,1.0208528919573316e-32,2.1537412695859065e-05,2.1537412695859065e-05,15.33319353000183
48,train_t01_single_idvg_l10:048,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.8,0.01,1.0208528919573316e-32,2.3689117800742529e-05,2.3689117800742529e-05,15.374548887594717
49,train_t01_single_idvg_l10:049,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,0.9,0.01,1.0208528919573316e-32,2.5771348199953653e-05,2.5771348199953653e-05,15.411137138787023
50,train_t01_single_idvg_l10:050,train_t01_single_idvg_l10,train,transfer,single_bottom_gate,scored,1.0,0.01,1.0208528919573316e-32,2.7794115026178312e-05,2.7794115026178312e-05,15.443952850514673
51,train_t01_single_idvd_vgs_0p0:000,train_t01_single_idvd_vgs_0p0,train,output,single_bottom_gate,zero_vds_invariant,0.0,0.0,0,0,0,0
52,train_t01_single_idvd_vgs_0p0:001,train_t01_single_idvd_vgs_0p0,train,output,single_bottom_gate,repeated_low_vds_audit,0.01,0.01,1.0208528919573316e-32,2.1689928627233429e-06,2.1689928627233429e-06,14.336258122929376
53,train_t01_single_idvd_vgs_0p0:002,train_t01_single_idvd_vgs_0p0,train,output,single_bottom_gate,scored,0.05,0.05,5.1042644597866582e-32,6.5739248790896203e-06,6.5739248790896203e-06,14.817824737046601
54,train_t01_single_idvd_vgs_0p0:003,train_t01_single_idvd_vgs_0p0,train,output,single_bottom_gate,scored,0.1,0.1,1.0208528919573316e-31,7.6984344478951156e-06,7.6984344478951156e-06,14.886402416111594
55,train_t01_single_idvd_vgs_0p0:004,train_t01_single_idvd_vgs_0p0,train,output,single_bottom_gate,scored,0.2,0.2,2.0417057839146633e-31,7.8383240111113458e-06,7.8383240111113458e-06,14.894223211850594
56,train_t01_single_idvd_vgs_0p5:000,train_t01_single_idvd_vgs_0p5,train,output,single_bottom_gate,zero_vds_invariant,0.0,0.0,0,0,0,0
57,train_t01_single_idvd_vgs_0p5:001,train_t01_single_idvd_vgs_0p5,train,output,single_bottom_gate,repeated_low_vds_audit,0.01,0.01,1.0208528919573316e-32,1.6959020240564963e-05,1.6959020240564963e-05,15.229400758509897
58,train_t01_single_idvd_vgs_0p5:002,train_t01_single_idvd_vgs_0p5,train,output,single_bottom_gate,scored,0.05,0.05,5.1042644597866582e-32,7.9346720504707189e-05,7.9346720504707189e-05,15.899528981549064
59,train_t01_single_idvd_vgs_0p5:003,train_t01_single_idvd_vgs_0p5,train,output,single_bottom_gate,scored,0.1,0.1,1.0208528919573316e-31,0.00014432448744104487,0.00014432448744104487,16.159340023805029
60,train_t01_single_idvd_vgs_0p5:004,train_t01_single_idvd_vgs_0p5,train,output,single_bottom_gate,scored,0.2,0.2,2.0417057839146633e-31,0.00022364378982207221,0.00022364378982207221,16.349556843114751
61,train_t01_single_idvd_vgs_1p0:000,train_t01_single_idvd_vgs_1p0,train,output,single_bottom_gate,zero_vds_invariant,0.0,0.0,0,0,0,0
62,train_t01_single_idvd_vgs_1p0:001,train_t01_single_idvd_vgs_1p0,train,output,single_bottom_gate,repeated_low_vds_audit,0.01,0.01,1.0208528919573316e-32,2.7794115026178312e-05,2.7794115026178312e-05,15.443952850514673
63,train_t01_single_idvd_vgs_1p0:002,train_t01_single_idvd_vgs_1p0,train,output,single_bottom_gate,scored,0.05,0.05,5.1042644597866582e-32,0.00013451334876306018,0.00013451334876306018,16.128765384758303
64,train_t01_single_idvd_vgs_1p0:003,train_t01_single_idvd_vgs_1p0,train,output,single_bottom_gate,scored,0.1,0.1,1.0208528919573316e-31,0.00025767198510247307,0.00025767198510247307,16.411067203274285
