region,x_um,y_um,potential_v,mesh_level,top_gate_v,bottom_gate_v
bottom_oxide,5.5,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,5.5,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,5.5,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,5.75,0.0,0.0,fine,1.0,0.0
bottom_oxide,5.75,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,5.75,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,5.75,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,5.75,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,5.75,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,5.75,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,6.0,0.0,0.0,fine,1.0,0.0
bottom_oxide,6.0,0.005,0.06551362683438157,fine,1.0,0.0
bottom_oxide,6.0,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,6.0,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,6.0,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,6.0,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,6.0,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,6.25,0.0,0.0,fine,1.0,0.0
bottom_oxide,6.25,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,6.25,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,6.25,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,6.25,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,6.25,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,6.25,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,6.5,0.0,0.0,fine,1.0,0.0
bottom_oxide,6.5,0.005,0.06551362683438157,fine,1.0,0.0
bottom_oxide,6.5,0.01,0.13102725366876314,fine,1.0,0.0
bottom_oxide,6.5,0.015,0.1965408805031447,fine,1.0,0.0
bottom_oxide,6.5,0.02,0.2620545073375263,fine,1.0,0.0
bottom_oxide,6.5,0.024999999999999998,0.32756813417190783,fine,1.0,0.0
bottom_oxide,6.5,0.03,0.3930817610062894,fine,1.0,0.0
bottom_oxide,6.75,0.0,0.0,fine,1.0,0.0
bottom_oxide,6.75,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,6.75,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,6.75,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,6.75,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,6.75,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,6.75,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,7.0,0.0,0.0,fine,1.0,0.0
bottom_oxide,7.0,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,7.0,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,7.0,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,7.0,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,7.0,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,7.0,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,7.25,0.0,0.0,fine,1.0,0.0
bottom_oxide,7.25,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,7.25,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,7.25,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,7.25,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,7.25,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,7.25,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,7.5,0.0,0.0,fine,1.0,0.0
bottom_oxide,7.5,0.005,0.06551362683438156,fine,1.0,0.0
bottom_oxide,7.5,0.01,0.13102725366876314,fine,1.0,0.0
bottom_oxide,7.5,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,7.5,0.02,0.2620545073375263,fine,1.0,0.0
bottom_oxide,7.5,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,7.5,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,7.75,0.0,0.0,fine,1.0,0.0
bottom_oxide,7.75,0.005,0.06551362683438157,fine,1.0,0.0
bottom_oxide,7.75,0.01,0.1310272536687631,fine,1.0,0.0
bottom_oxide,7.75,0.015,0.19654088050314467,fine,1.0,0.0
bottom_oxide,7.75,0.02,0.2620545073375262,fine,1.0,0.0
bottom_oxide,7.75,0.024999999999999998,0.3275681341719078,fine,1.0,0.0
bottom_oxide,7.75,0.03,0.39308176100628933,fine,1.0,0.0
bottom_oxide,8.0,0.0,0.0,fine,1.0,0.0
bottom_oxide,8.0,0.005,0.0655136268343815,fine,1.0,0.0
bottom_oxide,8.0,0.01,0.131027253668763,fine,1.0,0.0
bottom_oxide,8.0,0.015,0.1965408805031445,fine,1.0,0.0
bottom_oxide,8.0,0.02,0.262054507337526,fine,1.0,0.0
bottom_oxide,8.0,0.024999999999999998,0.3275681341719075,fine,1.0,0.0
bottom_oxide,8.0,0.03,0.39308176100628905,fine,1.0,0.0
bottom_oxide,8.25,0.0,0.0,fine,1.0,0.0
bottom_oxide,8.25,0.005,0.06551362683437713,fine,1.0,0.0
bottom_oxide,8.25,0.01,0.13102725366875437,fine,1.0,0.0
bottom_oxide,8.25,0.015,0.19654088050313187,fine,1.0,0.0
bottom_oxide,8.25,0.02,0.26205450733750973,fine,1.0,0.0
bottom_oxide,8.25,0.024999999999999998,0.327568134171888,fine,1.0,0.0
bottom_oxide,8.25,0.03,0.3930817610062669,fine,1.0,0.0
bottom_oxide,8.5,0.0,0.0,fine,1.0,0.0
bottom_oxide,8.5,0.005,0.06551362683405995,fine,1.0,0.0
bottom_oxide,8.5,0.01,0.13102725366812898,fine,1.0,0.0
bottom_oxide,8.5,0.015,0.19654088050221594,fine,1.0,0.0
bottom_oxide,8.5,0.02,0.2620545073363291,fine,1.0,0.0
bottom_oxide,8.5,0.024999999999999998,0.32756813417047603,fine,1.0,0.0
bottom_oxide,8.5,0.03,0.3930817610046634,fine,1.0,0.0
bottom_oxide,8.75,0.0,0.0,fine,1.0,0.0
bottom_oxide,8.75,0.005,0.06551362681103973,fine,1.0,0.0
bottom_oxide,8.75,0.01,0.13102725362273937,fine,1.0,0.0
bottom_oxide,8.75,0.015,0.19654088043574006,fine,1.0,0.0
bottom_oxide,8.75,0.02,0.26205450725064594,fine,1.0,0.0
bottom_oxide,8.75,0.024999999999999998,0.327568134068007,fine,1.0,0.0
bottom_oxide,8.75,0.03,0.3930817608883036,fine,1.0,0.0
bottom_oxide,9.0,0.0,0.0,fine,1.0,0.0
bottom_oxide,9.0,0.005,0.06551362513823945,fine,1.0,0.0
bottom_oxide,9.0,0.01,0.1310272503247201,fine,1.0,0.0
bottom_oxide,9.0,0.015,0.1965408756062745,fine,1.0,0.0
bottom_oxide,9.0,0.02,0.26205450102696254,fine,1.0,0.0
bottom_oxide,9.0,0.024999999999999998,0.3275681266267952,fine,1.0,0.0
bottom_oxide,9.0,0.03,0.39308175244058685,fine,1.0,0.0
bottom_oxide,9.25,0.0,0.0,fine,1.0,0.0
bottom_oxide,9.25,0.005,0.06551350286241901,fine,1.0,0.0
bottom_oxide,9.25,0.01,0.13102700934234787,fine,1.0,0.0
bottom_oxide,9.25,0.015,0.19654052294278093,fine,1.0,0.0
bottom_oxide,9.25,0.02,0.26205404694153545,fine,1.0,0.0
bottom_oxide,9.25,0.024999999999999998,0.3275675842883099,fine,1.0,0.0
bottom_oxide,9.25,0.03,0.393081137513355,fine,1.0,0.0
bottom_oxide,9.5,0.0,0.0,fine,1.0,0.0
bottom_oxide,9.5,0.005,0.06550433681199623,fine,1.0,0.0
bottom_oxide,9.5,0.01,0.131008967099436,fine,1.0,0.0
bottom_oxide,9.5,0.015,0.1965141744757143,fine,1.0,0.0
bottom_oxide,9.5,0.02,0.2620202228060846,fine,1.0,0.0
bottom_oxide,9.5,0.024999999999999998,0.32752734627343166,fine,1.0,0.0
bottom_oxide,9.5,0.03,0.3930357393717299,fine,1.0,0.0
bottom_oxide,9.75,0.0,0.0,fine,1.0,0.0
bottom_oxide,9.75,0.005,0.0647614821527767,fine,1.0,0.0
bottom_oxide,9.75,0.01,0.12954820276013887,fine,1.0,0.0
bottom_oxide,9.75,0.015,0.19438544077852268,fine,1.0,0.0
bottom_oxide,9.75,0.02,0.2592985562288309,fine,1.0,0.0
bottom_oxide,9.75,0.024999999999999998,0.3243130308806706,fine,1.0,0.0
bottom_oxide,9.75,0.03,0.3894545091192498,fine,1.0,0.0
bottom_oxide,10.0,0.0,0.0,fine,1.0,0.0
bottom_oxide,10.0,0.005,0.0009224910298533809,fine,1.0,0.0
bottom_oxide,10.0,0.01,0.0017939108668084231,fine,1.0,0.0
bottom_oxide,10.0,0.015,0.002563127270248801,fine,1.0,0.0
bottom_oxide,10.0,0.02,0.0031788858228825596,fine,1.0,0.0
bottom_oxide,10.0,0.024999999999999998,0.0035897486391915597,fine,1.0,0.0
bottom_oxide,10.0,0.03,0.0037440328297073766,fine,1.0,0.0
channel,0.0,0.03,0.0,fine,1.0,0.0
channel,0.0,0.033,0.0004715544174018387,fine,1.0,0.0
channel,0.25,0.03,0.3886317003736393,fine,1.0,0.0
channel,0.25,0.033,0.4152117829182898,fine,1.0,0.0
channel,0.0,0.036,0.0008236636489954206,fine,1.0,0.0
channel,0.25,0.036,0.44185093426684735,fine,1.0,0.0
channel,0.0,0.039,0.001048757026651062,fine,1.0,0.0
channel,0.25,0.039,0.4685529269350456,fine,1.0,0.0
channel,0.0,0.041999999999999996,0.0011392092033730855,fine,1.0,0.0
channel,0.25,0.041999999999999996,0.4953215697324514,fine,1.0,0.0
channel,0.0,0.045,0.0010873368602627347,fine,1.0,0.0
