row_index,row_uid,curve_id,dataset_id,split,kind,topology,selection_role,optimizer_input,vbg_v,vtg_v,vds_v,primary_axis_v,target_current_a_per_cm,model_current_a_per_cm,w_um,l_um,temperature_k,route,source_current_a,current_a_per_cm,finite_current
32,train_t01_single_idvg_l10:032,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.25,0.0,0.01,0.25,1.1454257140732251e-05,1.4770904064455889e-05,60.0,10.0,300.0,ngspice,-6.1627545202967218e-08,1.027125753382787e-05,True
33,train_t01_single_idvg_l10:033,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.275,0.0,0.01,0.275,1.2554957358367043e-05,1.5890003854427555e-05,60.0,10.0,300.0,ngspice,-6.6138477727433076e-08,1.1023079621238846e-05,True
34,train_t01_single_idvg_l10:034,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.3,0.0,0.01,0.3,1.3645454981973562e-05,1.6974831042879512e-05,60.0,10.0,300.0,ngspice,-7.0506759133931959e-08,1.1751126522321992e-05,True
35,train_t01_single_idvg_l10:035,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.325,0.0,0.01,0.325,1.4723923899111031e-05,1.8030865136213074e-05,60.0,10.0,300.0,ngspice,-7.474496704848873e-08,1.2457494508081455e-05,True
36,train_t01_single_idvg_l10:036,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.35,0.0,0.01,0.35,1.5788977373151794e-05,1.9062224464664583e-05,60.0,10.0,300.0,ngspice,-7.8866185762820491e-08,1.3144364293803414e-05,True
37,train_t01_single_idvg_l10:037,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.375,0.0,0.01,0.375,1.6839570226567458e-05,2.007203093893054e-05,60.0,10.0,300.0,ngspice,-8.2882939574246879e-08,1.3813823262374479e-05,True
38,train_t01_single_idvg_l10:038,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.4,0.0,0.01,0.4,1.7874926238777034e-05,2.1062691264299222e-05,60.0,10.0,300.0,ngspice,-8.6806653798658065e-08,1.4467775633109678e-05,True
39,train_t01_single_idvg_l10:039,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.425,0.0,0.01,0.425,1.8894483118975373e-05,2.2036100988787022e-05,60.0,10.0,300.0,ngspice,-9.0647445179400894e-08,1.5107907529900148e-05,True
40,train_t01_single_idvg_l10:040,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.45,0.0,0.01,0.45,1.989785004737032e-05,2.2993788052413644e-05,60.0,10.0,300.0,ngspice,-9.4414104573355021e-08,1.5735684095559169e-05,True
41,train_t01_single_idvg_l10:041,train_t01_single_idvg_l10,T01_D_C_IDVG,train,transfer,single_bottom_gate,scored,True,0.475,0.0,0.01,0.475,2.0884774417710973e-05,2.3937012341630482e-05,60.0,10.0,300.0,ngspice,-9.8114182421533132e-08,1.6352363736922189e-05,True
