route,case_id,vdd_v,v_top_load_v,v_top_load_over_vdd,wload_over_wdriver,vin_fraction,vin_v,vout_v,supply_current_a,static_power_w,finite
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.63,0.126,0.07444715053697733,1.7193736963776388e-07,3.438747392755278e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.64,0.128,0.0736558992443888,1.739118544022277e-07,3.4782370880445544e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.65,0.13,0.0728796351933746,1.7585947301605226e-07,3.5171894603210455e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.66,0.132,0.07211828937575443,1.7777977501620305e-07,3.555595500324061e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.67,0.134,0.07137176772078101,1.7967239123712636e-07,3.5934478247425275e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.68,0.136,0.07063995302308472,1.8153703016037335e-07,3.6307406032074675e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.6900000000000001,0.138,0.06992270689357645,1.8337347396269025e-07,3.6674694792538054e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.7000000000000001,0.14,0.06921987170770966,1.8518157434082667e-07,3.7036314868165336e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.71,0.142,0.0685312725286279,1.8696124818558712e-07,3.739224963711743e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.72,0.144,0.06785671898592442,1.887124731710729e-07,3.774249463421458e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.73,0.146,0.06719600709390446,1.9043528331798405e-07,3.808705666359681e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.74,0.148,0.06654892099629527,1.9212976458252897e-07,3.8425952916505796e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.75,0.15000000000000002,0.06591523462721437,1.937960505151967e-07,3.875921010303934e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.76,0.15200000000000002,0.0652947132808472,1.954343180265575e-07,3.90868636053115e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.77,0.15400000000000003,0.06468711508466342,1.9704478329053067e-07,3.940895665810614e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.78,0.15600000000000003,0.06409219237310672,1.9862769780930955e-07,3.972553956186191e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.79,0.15800000000000003,0.06350969296051805,2.001833446584177e-07,4.0036668931683544e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.8,0.16000000000000003,0.06293936131360361,2.0171203492525582e-07,4.0342406985051164e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.81,0.16200000000000003,0.06238093962505364,2.032141043499685e-07,4.0642820869993705e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.8200000000000001,0.16400000000000003,0.061834168790963144,2.0468991017354014e-07,4.093798203470803e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.8300000000000001,0.16600000000000004,0.06129878929553989,2.0613982819466736e-07,4.122796563893348e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.84,0.168,0.060774542007210816,2.0756425003414845e-07,4.1512850006829694e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.85,0.17,0.06026116889069825,2.0896358060320602e-07,4.1792716120641207e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.86,0.17200000000000001,0.0597584136399414,2.1033823577029964e-07,4.2067647154059934e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.87,0.17400000000000002,0.05926602223691647,2.1168864021952262e-07,4.233772804390453e-08,True
xyce,v200_t075_r0500,0.2,0.15000000000000002,0.75,0.5,0.88,0.17600000000000002,0.0587837434414807,2.1301522549256827e-07,4.2603045098513656e-08,True
