state_id,state_label,source_family,mesh_level,stage_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,21,11,13,71,2.5e-05,3.3750000000000003e-06,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,3.3333333333333335e-05,3.4e-06,0.33333333333333337,34.0,-1.8346008498686217,-1.8055745807531776,-1.8055745807531776,0.012647042585606966,-0.01637922652983749,-0.01637922652983749,-1.815250003791659,-0.006703803491356005,1.8152623824799732,1.8153140611730716,1.834644441308678,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,22,11,70,71,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,5e-05,3.3750000000000003e-06,4.1666666666666665e-05,3.35e-06,0.41666666666666663,33.5,-1.8055745807531776,-1.8055745807531776,-1.7778526454888801,-6.161129235639451e-06,-6.161129235639451e-06,-0.02772809639353328,-1.7963339356650785,-0.009246806217334853,1.7963577349312168,1.796406007691307,1.8055745807636894,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,23,12,13,14,0.0,3.45e-06,2.5e-05,3.45e-06,0.0,3.525e-06,8.333333333333334e-06,3.4749999999999998e-06,0.08333333333333334,34.75,-2.78929198065582,-2.789291980655785,-2.789291980655785,3.497827063959505e-14,0.0,0.0,-2.789291980655797,1.1659423546531684e-14,2.789291980655797,2.789291980655797,2.78929198065582,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,24,13,14,15,2.5e-05,3.45e-06,0.0,3.525e-06,2.5e-05,3.525e-06,1.6666666666666667e-05,3.5000000000000004e-06,0.16666666666666669,35.00000000000001,-2.825532439619621,-2.825532439619621,-2.7894576675039153,-0.0191541772492282,-0.0191541772492282,-0.05522894936493422,-2.8135075155810525,-0.031179101287796874,2.813680272630169,2.8137330269425447,2.8255973615943413,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,25,13,15,72,2.5e-05,3.45e-06,2.5e-05,3.525e-06,5e-05,3.45e-06,3.3333333333333335e-05,3.4749999999999998e-06,0.33333333333333337,34.75,-1.895314067375522,-1.8643083968613745,-1.8643083968613743,0.01185149326491942,-0.0191541772492282,-0.0191541772492282,-1.8746436203660901,-0.008818953744512326,1.874664363912759,1.8747215674505187,1.8953511210021623,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,26,13,71,72,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,5e-05,3.45e-06,4.1666666666666665e-05,3.4250000000000002e-06,0.41666666666666663,34.25,-1.8643083968613743,-1.8643083968613745,-1.834727552512136,-6.327569675692363e-06,-6.3275696756923635e-06,-0.0295871719189144,-1.8544481154116284,-0.009866609019421928,1.8544743629199305,1.854527631660446,1.8643083968721126,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,27,14,15,16,0.0,3.525e-06,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,8.333333333333334e-06,3.5500000000000003e-06,0.08333333333333334,35.5,-2.8255324396195913,-2.825532439619621,-2.825532439619621,-2.966511560573252e-14,0.0,0.0,-2.825532439619611,-9.888371868577506e-15,2.825532439619611,2.825532439619611,2.825532439619621,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,28,15,16,17,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,1.6666666666666667e-05,3.575e-06,0.16666666666666669,35.75,-2.8632778020205234,-2.863277802020523,-2.8257106897911495,-0.021849611623306696,-0.021849611623306696,-0.05941672385268046,-2.8507554312773986,-0.03437198236643128,2.8509626377996233,2.8510192131088785,2.8633611677662265,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,29,15,17,73,2.5e-05,3.525e-06,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,3.3333333333333335e-05,3.5500000000000003e-06,0.33333333333333337,35.5,-1.9602227746172989,-1.9270543232256776,-1.9270543232256776,0.011318839768314375,-0.021849611623306696,-0.021849611623306696,-1.9381104736895514,-0.010793461159433006,1.9381405281942115,1.9382039434324618,1.9602554533177665,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
p1_ratio_0p50_common_primary,P1 Ctop/Cbottom=0.50 common-primary proxy,top_primary,interface_4x,T03_P1_CAPACITANCE_RATIO,0.0,0.3,0.01,channel,30,15,72,73,2.5e-05,3.525e-06,5e-05,3.45e-06,5e-05,3.525e-06,4.1666666666666665e-05,3.5000000000000004e-06,0.41666666666666663,35.00000000000001,-1.9270543232256776,-1.9270543232256776,-1.8954444695242403,-6.035939640020265e-06,-6.035939640020265e-06,-0.031615889641077796,-1.9165177053251987,-0.010542653840119279,1.916546702372514,1.9166055910472057,1.9270543232351305,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
