state_id,state_label,parameter_group_id,channel_length_um,channel_length_cm,mesh_level,stage_id,mode_id,vbg_v,vtg_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,21,11,13,71,2.5e-05,3.3750000000000003e-06,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,3.3333333333333335e-05,3.4e-06,0.33333333333333337,34.0,-2.8073058640979096,-2.7434305886304693,-2.7434305886304693,-0.06916246759660469,-0.13303774306404467,-0.13303774306404467,-2.764722347119616,-0.111745984574898,2.7669797291869003,2.767155504790297,2.8081576988343375,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,22,11,70,71,2.5e-05,3.3750000000000003e-06,5e-05,3.3e-06,5e-05,3.3750000000000003e-06,4.1666666666666665e-05,3.35e-06,0.41666666666666663,33.5,-2.7434305886304693,-2.7434305886304693,-2.684380543533333,-3.488262628381939e-05,-3.488262628381939e-05,-0.059084927723420166,-2.723747240264757,-0.019718230991995937,2.7238186131758724,2.723963963656989,2.743430588852235,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,23,12,13,14,0.0,3.45e-06,2.5e-05,3.45e-06,0.0,3.525e-06,8.333333333333334e-06,3.4749999999999998e-06,0.08333333333333334,34.75,-11.073684388554382,-11.073684388554327,-11.073684388554327,5.4902602016579575e-14,0.0,0.0,-11.073684388554346,1.830086733885986e-14,11.073684388554346,11.073684388554346,11.073684388554382,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,24,13,14,15,2.5e-05,3.45e-06,0.0,3.525e-06,2.5e-05,3.525e-06,1.6666666666666667e-05,3.5000000000000004e-06,0.16666666666666669,35.00000000000001,-11.254749271988516,-11.254749271988516,-11.07469746439324,-0.15764013869058652,-0.15764013869058652,-0.3376919462858621,-11.19473200279009,-0.2176574078890117,11.196847742177331,11.197183727819747,11.25585321460139,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,25,13,15,72,2.5e-05,3.45e-06,2.5e-05,3.525e-06,5e-05,3.45e-06,3.3333333333333335e-05,3.4749999999999998e-06,0.33333333333333337,34.75,-2.9438831052957974,-2.872885832848173,-2.8728858328481723,-0.08664286624296118,-0.15764013869058652,-0.15764013869058652,-2.896551590330714,-0.13397438120804475,2.8996482976849913,2.899857663648861,2.945157843633652,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,26,13,71,72,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,5e-05,3.45e-06,4.1666666666666665e-05,3.4250000000000002e-06,0.41666666666666663,34.25,-2.8728858328481723,-2.872885832848173,-2.80729527176394,-4.112852259101211e-05,-4.112852259101211e-05,-0.0656316896068235,-2.8510223124867617,-0.021904648884001843,2.851106458892774,2.851278011367311,2.872885833142573,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,27,14,15,16,0.0,3.525e-06,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,8.333333333333334e-06,3.5500000000000003e-06,0.08333333333333334,35.5,-11.254749271988567,-11.254749271988516,-11.254749271988516,4.9589446982717034e-14,0.0,0.0,-11.254749271988532,1.6529815660905677e-14,11.254749271988532,11.254749271988532,11.254749271988567,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,28,15,16,17,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,1.6666666666666667e-05,3.575e-06,0.16666666666666669,35.75,-11.448052830272628,-11.448052830272628,-11.255872873162833,-0.18235376764580308,-0.18235376764580308,-0.3745337247555985,-11.383992844569363,-0.24641375334906823,11.386659423335978,11.387037505657757,11.449505076696012,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,29,15,17,73,2.5e-05,3.525e-06,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,3.3333333333333335e-05,3.5500000000000003e-06,0.33333333333333337,35.5,-3.09599312915627,-3.016872956170194,-3.016872956170194,-0.1032335946597274,-0.18235376764580308,-0.18235376764580308,-3.0432463471655526,-0.1559803766504445,3.047241081279342,3.0474906479279524,3.0977137748425374,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
length_10p0um_on_proxy,L=10 um on proxy,P4,10.0,0.001,interface_4x,T03_P4_L_CHANNEL_LENGTH,enabled_symmetric_teaching_top_stack,0.0,1.0,0.01,channel,30,15,72,73,2.5e-05,3.525e-06,5e-05,3.45e-06,5e-05,3.525e-06,4.1666666666666665e-05,3.5000000000000004e-06,0.41666666666666663,35.00000000000001,-3.016872956170194,-3.016872956170194,-2.9438424076337557,-4.643035913919496e-05,-4.643035913919496e-05,-0.07307697889557767,-2.9925294399913813,-0.024389946537952022,2.9926288307618862,2.9928317334954357,3.016872956527481,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
