bulk_family_id,bulk_value_cm3_ev,nta_cm3_ev,nga_cm3_ev,is_zero_control,inactive_family_id,family_id,primary_gate,secondary_gate,sweep_direction,sweep_index,mesh_level,stage_id,mode_id,primary_gate_v,fixed_secondary_gate_v,vbg_v,vtg_v,vds_v,source_current_a_per_cm,drain_current_a_per_cm,source_current_terminal_a,drain_current_terminal_a,current_imbalance_a_per_cm,relative_current_imbalance,center_channel_potential_v,center_channel_electron_density_cm3,solve_seconds,converged
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,17,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.35,0.0,0.0,0.35,0.01,-1.1959263799055022e-05,1.195926379905493e-05,-7.175558279433014e-08,7.175558279432958e-08,-9.147955830346444e-20,7.64926335270678e-15,0.055503560950806434,7.071297535791408e+16,0.06628487799753202,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,18,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.4,0.0,0.0,0.4,0.01,-1.3960469974581865e-05,1.3960469974582006e-05,-8.376281984749119e-08,8.376281984749204e-08,1.4060746924421386e-19,1.0071829207771626e-14,0.05851645100722728,7.941359678048298e+16,0.06355673800135264,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,19,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.45,0.0,0.0,0.45,0.01,-1.593871996999098e-05,1.5938719969990553e-05,-9.563231981994588e-08,9.563231981994332e-08,-4.2690460541616737e-19,2.6784121072453283e-14,0.06098650365838917,8.733976117388957e+16,0.06328262100214488,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,20,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.5,0.0,0.0,0.5,0.01,-1.787906648122641e-05,1.7879066481226356e-05,-1.0727439888735846e-07,1.0727439888735813e-07,-5.421010862427522e-20,3.032043573482853e-15,0.06304005893429791,9.452821843530101e+16,0.06359918200178072,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,21,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.55,0.0,0.0,0.55,0.01,-1.9771995437083207e-05,1.977199543708286e-05,-1.1863197262249925e-07,1.1863197262249717e-07,-3.4558944247975454e-19,1.7478733675589822e-14,0.06476907151321082,1.0103694738386245e+17,0.05219762900014757,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,22,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.6,0.0,0.0,0.6,0.01,-2.1611729659277237e-05,2.161172965927748e-05,-1.2967037795566343e-07,1.2967037795566488e-07,2.439454888092385e-19,1.1287642990875448e-14,0.06624145510688034,1.0693101805295134e+17,0.051611958999274066,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,23,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.65,0.0,0.0,0.65,0.01,-2.339506244280655e-05,2.3395062442806136e-05,-1.403703746568393e-07,1.4037037465683682e-07,-4.1335207826009857e-19,1.7668346868943493e-14,0.06750812568473659,1.1227510314460531e+17,0.05159219000051962,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,24,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.7,0.0,0.0,0.7,0.01,-2.512055523251343e-05,2.5120555232513144e-05,-1.5072333139508057e-07,1.5072333139507888e-07,-2.846030702774449e-19,1.132948964078168e-14,0.06860781719995461,1.1712982050009917e+17,0.05047406399899046,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,25,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.75,0.0,0.0,0.75,0.01,-2.6787982965340644e-05,2.6787982965341033e-05,-1.6072789779204386e-07,1.607278977920462e-07,3.8963515573697816e-19,1.4545147211759018e-14,0.06957040727900948,1.2155020484100349e+17,0.05060016500283382,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,26,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.8,0.0,0.0,0.8,0.01,-2.8397948087667953e-05,2.8397948087669403e-05,-1.7038768852600773e-07,1.7038768852601642e-07,1.4501204056993622e-18,5.1064267080937975e-14,0.07041924293082755,1.2558531990380466e+17,0.05075985200164723,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,27,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.85,0.0,0.0,0.85,0.01,-2.9951610175357674e-05,2.9951610175356447e-05,-1.7970966105214605e-07,1.797096610521387e-07,-1.2265037076242269e-18,4.094950823823549e-14,0.07117278911373069,1.2927845021612472e+17,0.052328335001220694,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,28,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.9,0.0,0.0,0.9,0.01,-3.1450495450922346e-05,3.14504954509227e-05,-1.8870297270553408e-07,1.887029727055362e-07,3.5236570605778894e-19,1.1203820512387228e-14,0.07184581339428414,1.3266756102782699e+17,0.05398667299959925,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,29,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,0.95,0.0,0.0,0.95,0.01,-3.2896362019584074e-05,3.289636201958139e-05,-1.9737817211750446e-07,1.9737817211748834e-07,-2.6834003769016235e-18,8.157134139343811e-14,0.07245024869093095,1.3578585748801736e+17,0.05562462599846185,True
NTA,1e+18,1e+18,0.0,False,NGA,top_primary,top_gate,bottom_gate,forward,30,interface_4x,T03_P2_BULK_TRAPS_FORMAL,enabled_symmetric_teaching_top_stack,1.0,0.0,0.0,1.0,0.01,-3.429110430601642e-05,3.429110430601587e-05,-2.0574662583609853e-07,2.0574662583609525e-07,-5.488773498207866e-19,1.6006406353162715e-14,0.0729958296889027,1.3866235469766674e+17,0.054017474001739174,True
