state_id,state_label,mesh_level,stage_id,vgs_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-27.773712771917662,-27.77371277191766,-27.773712771917662,0.0,0.0,0.0,-27.773712771917662,0.0,27.773712771917662,27.773712771917662,27.773712771917662,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,335,176,177,197,0.0002,3.6000000000000003e-06,0.0002,3.6750000000000004e-06,0.00022500000000000002,3.6000000000000003e-06,0.00020833333333333335,3.625e-06,2.0833333333333335,36.25,-13.776722583344302,-14.837732633352473,-14.837732633352473,-1.0610581746804473,-4.8124672276686904e-05,-4.8124672276686904e-05,-14.484062616683083,-0.35371814134166685,14.488381083044116,14.497662607655522,14.837732633430518,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,336,176,196,197,0.0002,3.6000000000000003e-06,0.00022500000000000002,3.525e-06,0.00022500000000000002,3.6000000000000003e-06,0.00021666666666666668,3.575e-06,2.166666666666667,35.75,-14.837732633352473,-14.837732633352473,-16.07557360822182,-5.142891966339059e-05,-5.142891966339059e-05,1.2377895459496866,-15.250346291642254,0.41256222937011994,15.255925721112748,15.266207403137392,16.123156942528972,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,337,177,178,198,0.0002,3.6750000000000004e-06,0.0002,3.7500000000000005e-06,0.00022500000000000002,3.6750000000000004e-06,0.00020833333333333335,3.7000000000000006e-06,2.0833333333333335,37.00000000000001,-11.979421863133139,-12.810585316531355,-12.810585316531355,-0.8312084120006669,-4.49586024509393e-05,-4.495860245093929e-05,-12.533530832065283,-0.2770994430685229,12.5365936051098,12.543131710472418,12.810585316610247,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,338,177,197,198,0.0002,3.6750000000000004e-06,0.00022500000000000002,3.6000000000000003e-06,0.00022500000000000002,3.6750000000000004e-06,0.00021666666666666668,3.6500000000000006e-06,2.166666666666667,36.50000000000001,-12.810585316531355,-12.810585316531355,-13.770659331205964,-4.814324233709235e-05,-4.814324233709235e-05,0.9600258714322718,-13.130609988089558,0.31997652831586587,13.134508123184148,13.141751218555575,13.804083022423082,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,339,178,179,199,0.0002,3.7500000000000005e-06,0.0002,3.825000000000001e-06,0.00022500000000000002,3.7500000000000005e-06,0.00020833333333333335,3.7750000000000003e-06,2.0833333333333335,37.75,-10.552964270109026,-11.215538763295864,-11.215538763295864,-0.6626164336525804,-4.1940465741529654e-05,-4.194046574152966e-05,-10.994680598900251,-0.22090010486135447,10.99689948704458,11.001608014875634,11.215538763374282,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,340,178,198,199,0.0002,3.7500000000000005e-06,0.00022500000000000002,3.6750000000000004e-06,0.00022500000000000002,3.7500000000000005e-06,0.00021666666666666668,3.7250000000000003e-06,2.166666666666667,37.25,-11.215538763295864,-11.215538763295864,-11.974651036007506,-4.49761687242958e-05,-4.49761687242958e-05,0.7590672965429189,-11.46857618753308,0.25299244806849014,11.471366306941404,11.476587632071016,11.998685369440963,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,341,179,180,200,0.0002,3.825000000000001e-06,0.0002,3.9e-06,0.00022500000000000002,3.825000000000001e-06,0.00020833333333333335,3.85e-06,2.0833333333333335,38.50000000000001,-9.403036431703375,-9.939087199070865,-9.939087199070865,-0.5360898444993074,-3.907713181607467e-05,-3.907713181607467e-05,-9.76040360994837,-0.17872266625431318,9.762039767411634,9.765493440398155,9.939087199147684,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,342,179,199,200,0.0002,3.825000000000001e-06,0.00022500000000000002,3.7500000000000005e-06,0.00022500000000000002,3.825000000000001e-06,0.00021666666666666668,3.800000000000001e-06,2.166666666666667,38.00000000000001,-9.939087199070865,-9.939087199070865,-10.549146369168717,-4.1956981175319306e-05,-4.1956981175319306e-05,0.6100172131166769,-10.142440255770149,0.20331109971810876,10.144477795585903,10.14831451372543,10.56676914285744,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,343,180,181,201,0.0002,3.9e-06,0.0002,3.975e-06,0.00022500000000000002,3.9e-06,0.00020833333333333335,3.925e-06,2.0833333333333335,39.25,-8.463651729604809,-8.902832815045748,-8.902832815045748,-0.4392174512184619,-3.636577752349783e-05,-3.636577752349783e-05,-8.756439119898769,-0.14643006092450297,8.757663376908013,8.76023539823836,8.902832815120021,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
on_proxy,on proxy,interface_4x,T01_DC_EXTRACTION,1.0,0.01,channel,344,180,200,201,0.0002,3.9e-06,0.00022500000000000002,3.825000000000001e-06,0.00022500000000000002,3.9e-06,0.00021666666666666668,3.875e-06,2.166666666666667,38.75,-8.902832815045748,-8.902832815045748,-9.399936966992648,-3.9092870883318644e-05,-3.909287088331865e-05,0.4970650590760168,-9.068534199028049,0.1656622911114167,9.070047216725918,9.072911909182508,9.41307009728437,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
