state_id,state_label,mesh_level,stage_id,vgs_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-4.866581219348748,-4.866581219348749,-4.866581219348749,-8.8552583897709e-16,-3.480178043628027e-47,0.0,-4.866581219348749,-2.9517527965902997e-16,4.866581219348749,4.866581219348749,4.866581219348749,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,262,137,157,158,0.00015000000000000001,3.825000000000001e-06,0.000175,3.7500000000000005e-06,0.000175,3.825000000000001e-06,0.00016666666666666666,3.800000000000001e-06,1.6666666666666665,38.00000000000001,-3.948738414580272,-3.948738414580272,-4.033976875942729,-5.798725057113135e-05,-5.798725057113135e-05,0.08518047411188637,-3.9771512350344245,0.02835483320358137,3.9772523106916227,3.97745097693751,4.034876100800443,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,263,138,139,159,0.00015000000000000001,3.9e-06,0.00015000000000000001,3.975e-06,0.000175,3.9e-06,0.00015833333333333335,3.925e-06,1.5833333333333335,39.25,-3.721396890028489,-3.792511161105907,-3.792511161105907,-0.07117052186461698,-5.6250787199930904e-05,-5.625078719993091e-05,-3.768806404080101,-0.02376100781300561,3.768881305762689,3.7690332358527328,3.792511161523065,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,264,138,158,159,0.00015000000000000001,3.9e-06,0.000175,3.825000000000001e-06,0.000175,3.9e-06,0.00016666666666666666,3.875e-06,1.6666666666666665,38.75,-3.7925111611059075,-3.792511161105907,-3.869206542945949,-5.738633208191711e-05,-5.738633208191711e-05,0.07663799550795941,-3.818076288385921,0.02550774094793186,3.8181614932822154,3.818329260713977,3.8699654590617754,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,265,139,140,160,0.00015000000000000001,3.975e-06,0.00015000000000000001,4.05e-06,0.000175,3.975e-06,0.00015833333333333335,4e-06,1.5833333333333335,40.0,-3.587845699661528,-3.651874128192402,-3.651874128192402,-0.06408324602877934,-5.481749790559577e-05,-5.481749790559576e-05,-3.630531318682111,-0.021397627008196845,3.6305943748060385,3.6307220710719172,3.6518741286038288,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,266,139,159,160,0.00015000000000000001,3.975e-06,0.000175,3.9e-06,0.000175,3.975e-06,0.00016666666666666666,3.95e-06,1.6666666666666665,39.5,-3.651874128192402,-3.651874128192402,-3.720976241129035,-5.633498277944338e-05,-5.6334982779443377e-05,0.06904577795385325,-3.6749081658379463,0.022977702662764787,3.67498000023974,3.675121681293442,3.721616786626481,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,267,140,141,161,0.00015000000000000001,4.05e-06,0.00015000000000000001,4.125e-06,0.000175,4.05e-06,0.00015833333333333335,4.075e-06,1.5833333333333335,40.75,-3.467465739696769,-3.5251473284479524,-3.525147328447953,-0.057734647967563134,-5.305921637986227e-05,-5.3059216379862265e-05,-3.505920132197558,-0.019280255466774286,3.5059731461605645,3.5060803387369606,3.525147328847267,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,268,140,160,161,0.00015000000000000001,4.05e-06,0.000175,3.975e-06,0.000175,4.05e-06,0.00016666666666666666,4.0250000000000004e-06,1.6666666666666665,40.25000000000001,-3.525147328447953,-3.5251473284479524,-3.587466656642389,-5.4901176887671924e-05,-5.490117688767192e-05,0.062264427017549216,-3.5459204378460982,0.020718208221257958,3.545980963807697,3.5461005358307887,3.588006949741422,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,269,141,142,162,0.00015000000000000001,4.125e-06,0.00015000000000000001,4.2000000000000004e-06,0.000175,4.125e-06,0.00015833333333333335,4.15e-06,1.5833333333333335,41.5,-3.3589246293339436,-3.4108932848805495,-3.4108932848805495,-0.052019679338208086,-5.1023791602541474e-05,-5.1023791602541474e-05,-3.3935703996983477,-0.017373908973804388,3.39361487361513,3.3937046634000034,3.410893285262184,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,270,141,161,162,0.00015000000000000001,4.125e-06,0.000175,4.05e-06,0.000175,4.125e-06,0.00016666666666666666,4.1000000000000006e-06,1.6666666666666665,41.00000000000001,-3.4108932848805495,-3.4108932848805495,-3.4671240030235384,-5.314170042403543e-05,-5.314170042403542e-05,0.05617757644256533,-3.429636857594879,0.018690431013905755,3.429687785671571,3.429788554828941,3.4675790938977764,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
near_target_proxy,near course-target proxy,interface_4x,T01_DC_EXTRACTION,0.2,0.01,channel,271,142,143,163,0.00015000000000000001,4.2000000000000004e-06,0.00015000000000000001,4.5e-06,0.000175,4.2000000000000004e-06,0.00015833333333333335,4.3e-06,1.5833333333333335,43.0,-3.145835784864742,-3.3078779201754376,-3.3078779201754376,-0.16208747830231934,-4.534299162438525e-05,-4.5342991624385246e-05,-3.2538638750718722,-0.05405938809518937,3.254312912880224,3.255254864233207,3.307877920486209,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
