state_id,state_label,mesh_level,stage_id,vgs_v,vds_v,region,element_index,node0_index,node1_index,node2_index,x0_cm,y0_cm,x1_cm,y1_cm,x2_cm,y2_cm,centroid_x_cm,centroid_y_cm,centroid_x_um,centroid_y_nm,electron_current_density_x_en0_a_per_cm2,electron_current_density_x_en1_a_per_cm2,electron_current_density_x_en2_a_per_cm2,electron_current_density_y_en0_a_per_cm2,electron_current_density_y_en1_a_per_cm2,electron_current_density_y_en2_a_per_cm2,electron_current_density_x_a_per_cm2,electron_current_density_y_a_per_cm2,electron_current_density_magnitude_a_per_cm2,mean_element_node_current_density_magnitude_a_per_cm2,maximum_element_node_current_density_magnitude_a_per_cm2,projection_method
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,0,0,1,2,0.0,3e-06,0.0,3.075e-06,2.5e-05,3e-06,8.333333333333334e-06,3.0250000000000003e-06,0.08333333333333334,30.250000000000004,-3.994706533607141e-09,-3.994706533607141e-09,-3.994706533607141e-09,0.0,0.0,0.0,-3.994706533607141e-09,0.0,3.994706533607141e-09,3.994706533607141e-09,3.994706533607141e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,24,13,14,15,2.5e-05,3.45e-06,0.0,3.525e-06,2.5e-05,3.525e-06,1.6666666666666667e-05,3.5000000000000004e-06,0.16666666666666669,35.00000000000001,-4.433918720012836e-09,-4.433918720012836e-09,-4.3752315266732566e-09,1.0748325055381198e-12,1.0748325055381198e-12,-5.7612360834041314e-11,-4.414356322232976e-09,-1.8487565274321692e-11,4.41439503552956e-09,4.4144828420213474e-09,4.433918850288668e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,25,13,15,48,2.5e-05,3.45e-06,2.5e-05,3.525e-06,5e-05,3.45e-06,3.3333333333333335e-05,3.4749999999999998e-06,0.33333333333333337,34.75,-4.444708285260819e-09,-4.41522026245562e-09,-4.41522026245562e-09,3.0562855310735886e-11,1.0748325055381198e-12,1.0748325055381198e-12,-4.425049603390687e-09,1.0904173440604042e-11,4.425063038360753e-09,4.425084716420405e-09,4.444813362694874e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,26,13,47,48,2.5e-05,3.45e-06,5e-05,3.3750000000000003e-06,5e-05,3.45e-06,4.1666666666666665e-05,3.4250000000000002e-06,0.41666666666666663,34.25,-4.41522026245562e-09,-4.41522026245562e-09,-4.3909110942788334e-09,1.4193953895843838e-12,1.4193953895843838e-12,-2.2889772787202898e-11,-4.407117206396691e-09,-6.68366066934471e-12,4.407122274482263e-09,4.407137245719932e-09,4.415220490607683e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,27,14,15,16,0.0,3.525e-06,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,8.333333333333334e-06,3.5500000000000003e-06,0.08333333333333334,35.5,-4.4342248065159506e-09,-4.433918720012836e-09,-4.433918720012836e-09,3.06086503113701e-13,0.0,0.0,-4.434020748847207e-09,1.0202883437123367e-13,4.434020750021073e-09,4.43402075236864e-09,4.434224817080249e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,28,15,16,17,2.5e-05,3.525e-06,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,1.6666666666666667e-05,3.575e-06,0.16666666666666669,35.75,-4.491015033859179e-09,-4.491015033859179e-09,-4.4343920574555065e-09,1.1787497211277616e-12,1.1787497211277616e-12,-5.544422668254549e-11,-4.472140708391289e-09,-1.7695575746763324e-11,4.472175717595581e-09,4.4722563456633395e-09,4.491015188551478e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,29,15,17,49,2.5e-05,3.525e-06,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,3.3333333333333335e-05,3.5500000000000003e-06,0.33333333333333337,35.5,-4.4972064453074144e-09,-4.46855784529072e-09,-4.46855784529072e-09,2.9827349737822117e-11,1.1787497211277616e-12,1.1787497211277616e-12,-4.478107378629618e-09,1.072828306002588e-11,4.478120229582324e-09,4.478140453151815e-09,4.497305357934563e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,30,15,48,49,2.5e-05,3.525e-06,5e-05,3.45e-06,5e-05,3.525e-06,4.1666666666666665e-05,3.5000000000000004e-06,0.41666666666666663,35.00000000000001,-4.46855784529072e-09,-4.46855784529072e-09,-4.4448662602078875e-09,1.5961247037510387e-12,1.5961247037510389e-12,-2.2095460379081465e-11,-4.460660650263109e-09,-6.301070323859796e-12,4.46066510066525e-09,4.46067914630395e-09,4.468558130350697e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,31,16,17,18,0.0,3.6000000000000003e-06,2.5e-05,3.6000000000000003e-06,0.0,3.6750000000000004e-06,8.333333333333334e-06,3.625e-06,0.08333333333333334,36.25,-4.490943723599469e-09,-4.491015033859179e-09,-4.491015033859179e-09,-7.131025971124694e-14,0.0,0.0,-4.490991263772609e-09,-2.3770086570415646e-14,4.490991263835515e-09,4.490991263961328e-09,4.491015033859179e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,32,17,18,19,2.5e-05,3.6000000000000003e-06,0.0,3.6750000000000004e-06,2.5e-05,3.6750000000000004e-06,1.6666666666666667e-05,3.6500000000000006e-06,0.16666666666666669,36.50000000000001,-4.546457447701729e-09,-4.546457447701729e-09,-4.491105763983787e-09,1.2669120187764494e-12,1.2669120187764494e-12,-5.408477169916567e-11,-4.528006886462415e-09,-1.718364922053759e-11,4.528039492059625e-09,4.528115554115234e-09,4.546457624220046e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,33,17,19,50,2.5e-05,3.6000000000000003e-06,2.5e-05,3.6750000000000004e-06,5e-05,3.6000000000000003e-06,3.3333333333333335e-05,3.625e-06,0.33333333333333337,36.25,-4.548176944754968e-09,-4.520402494903494e-09,-4.520402494903494e-09,2.9041361870250134e-11,1.2669120187764494e-12,1.2669120187764494e-12,-4.529660644853985e-09,1.0525061969267677e-11,4.529672872787668e-09,4.529691669077863e-09,4.548269662355116e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,34,17,49,50,2.5e-05,3.6000000000000003e-06,5e-05,3.525e-06,5e-05,3.6000000000000003e-06,4.1666666666666665e-05,3.575e-06,0.41666666666666663,35.75,-4.520402494903494e-09,-4.520402494903494e-09,-4.497359808896319e-09,1.7488394441139463e-12,1.7488394441139463e-12,-2.1293846563063063e-11,-4.5127215995677686e-09,-5.932055891611723e-12,4.512725498464601e-09,4.512738628486871e-09,4.5204028331963e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,35,18,19,20,0.0,3.6750000000000004e-06,2.5e-05,3.6750000000000004e-06,0.0,3.7500000000000005e-06,8.333333333333334e-06,3.7000000000000006e-06,0.08333333333333334,37.00000000000001,-4.546410439947505e-09,-4.546457447701729e-09,-4.546457447701729e-09,-4.7007754224454455e-14,0.0,0.0,-4.546441778450321e-09,-1.5669251408151486e-14,4.546441778477323e-09,4.546441778531327e-09,4.546457447701729e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
off_proxy,off proxy,interface_4x,T01_DC_EXTRACTION,-0.5,0.01,channel,36,19,20,21,2.5e-05,3.6750000000000004e-06,0.0,3.7500000000000005e-06,2.5e-05,3.7500000000000005e-06,1.6666666666666667e-05,3.7250000000000003e-06,0.16666666666666669,37.25,-4.600168819699038e-09,-4.600168819699038e-09,-4.546567085310827e-09,1.339605526805252e-12,1.339605526805252e-12,-5.226212886140708e-11,-4.5823015749029674e-09,-1.6527639269265524e-11,4.582331381100458e-09,4.5824018258948824e-09,4.6001690147508934e-09,DEVSIM element_from_edge_model; arithmetic mean of en0/en1/en2
